final_flag,samples,positive,bad_rate
DEV,3600000,550617,0.15294916666666666
DEV-OOS,3600000,624900,0.17358333333333334
OOT,1200000,154072,0.12839333333333333
OOT-OOS,1200000,171478,0.14289833333333332
