mdl_month,score_column,score_decile,lower_bound,upper_bound,n_samples,pct,bad,bad_rate,baseline_pct,psi_component,month_psi
2025-10,model_score,7,"(0.065915, 0.156842]","(0.065915, 0.156842]",104902,0.087418,11903,0.113468,0.1,0.001692,0.01015
2025-10,model_score,8,"(0.156842, 0.331288]","(0.156842, 0.331288]",102501,0.085417,25044,0.244329,0.1,0.002298,0.012449
2025-10,model_score,9,"(0.331288, 0.610110]","(0.331288, 0.610110]",107440,0.089533,50812,0.472934,0.1,0.001157,0.013606
2025-10,model_score,10,"(0.610110, 0.997367]","(0.610110, +inf)",105721,0.088101,84695,0.801118,0.1,0.001507,0.015114
2025-11,model_score,1,"(-inf, 0.002630]","(-inf, 0.002630]",131302,0.109418,125,0.000952,0.1,0.000848,0.000848
2025-11,model_score,2,"(0.002630, 0.003573]","(0.002630, 0.003573]",140558,0.117132,361,0.002568,0.1,0.002709,0.003557
2025-11,model_score,3,"(0.003573, 0.005580]","(0.003573, 0.005580]",149470,0.124558,684,0.004576,0.1,0.005393,0.00895
2025-11,model_score,4,"(0.005580, 0.010323]","(0.005580, 0.010323]",135378,0.112815,1065,0.007867,0.1,0.001545,0.010495
2025-11,model_score,5,"(0.010323, 0.021014]","(0.010323, 0.021014]",119602,0.099668,1947,0.016279,0.1,1e-06,0.010496
2025-11,model_score,6,"(0.021014, 0.065915]","(0.021014, 0.065915]",110334,0.091945,4410,0.03997,0.1,0.000676,0.011173
2025-11,model_score,7,"(0.065915, 0.156842]","(0.065915, 0.156842]",103469,0.086224,11408,0.110255,0.1,0.002042,0.013214
2025-11,model_score,8,"(0.156842, 0.331288]","(0.156842, 0.331288]",102082,0.085068,24339,0.238426,0.1,0.002415,0.015629
2025-11,model_score,9,"(0.331288, 0.610110]","(0.331288, 0.610110]",108695,0.090579,50862,0.467933,0.1,0.000932,0.016561
2025-11,model_score,10,"(0.610110, 0.997367]","(0.610110, +inf)",99106,0.082588,78922,0.796339,0.1,0.003331,0.019892
2025-12,model_score,1,"(-inf, 0.002630]","(-inf, 0.002630]",128646,0.107205,138,0.001073,0.1,0.000501,0.000501
2025-12,model_score,2,"(0.002630, 0.003573]","(0.002630, 0.003573]",142498,0.118748,312,0.00219,0.1,0.003222,0.003723
2025-12,model_score,3,"(0.003573, 0.005580]","(0.003573, 0.005580]",154064,0.128387,596,0.003869,0.1,0.007093,0.010816
2025-12,model_score,4,"(0.005580, 0.010323]","(0.005580, 0.010323]",137204,0.114337,1020,0.007434,0.1,0.001921,0.012737
2025-12,model_score,5,"(0.010323, 0.021014]","(0.010323, 0.021014]",119357,0.099464,1901,0.015927,0.1,3e-06,0.01274
2025-12,model_score,6,"(0.021014, 0.065915]","(0.021014, 0.065915]",107259,0.089383,4296,0.040053,0.1,0.001192,0.013931
2025-12,model_score,7,"(0.065915, 0.156842]","(0.065915, 0.156842]",102536,0.085447,11248,0.109698,0.1,0.002289,0.01622
2025-12,model_score,8,"(0.156842, 0.331288]","(0.156842, 0.331288]",103615,0.086346,24481,0.236269,0.1,0.002005,0.018225
