intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,3200000,10575256.0,274864.59375,0.025991294560623403,60,1.9e-05
中意愿,3200000,189100096.0,4099353.5,0.02167822008932243,1064,0.000333
高意愿,3200000,3410450432.0,111691512.0,0.03274978312307575,40626,0.012696
