segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
全客群,DEV-OOS,gcard_v2,高意愿,5,76943,3.6970404e+07,1.6870276e+06,0.04563184082508087,1106,0.01437427706224088
全客群,DEV-OOS,gcard_v2,高意愿,6,288939,1.13582936e+08,6.3286845e+06,0.055718619376420975,4532,0.015684971568393328
全客群,DEV-OOS,gcard_v2,高意愿,7,84748,1.8701614e+07,1.1012796e+06,0.058886874467134476,1018,0.01201208288101194
全客群,DEV-OOS,gcard_v2,低意愿,合计,1199554,8.2043155e+06,240602.72,0.029326360672712326,40,3.334572682847125e-05
全客群,DEV-OOS,gcard_v2,中意愿,合计,1199554,1.117874e+08,2.8680795e+06,0.025656554847955704,1012,0.0008436468887603226
全客群,DEV-OOS,gcard_v2,高意愿,合计,1199554,1.4759261e+09,5.8429124e+07,0.03958810865879059,21636,0.0180367036415201
全客群,DEV-OOS,gcard_v2,合计,1,82574,2.4759832e+08,6.1543445e+06,0.024856165051460266,689,0.00834403080872914
全客群,DEV-OOS,gcard_v2,合计,2,268087,5.0816794e+08,1.6245843e+07,0.03196943551301956,3279,0.012231104081883866
全客群,DEV-OOS,gcard_v2,合计,3,440969,3.6885846e+08,1.5748711e+07,0.04269580915570259,5141,0.011658415897716165
全客群,DEV-OOS,gcard_v2,合计,4,479222,2.726502e+08,1.3261291e+07,0.0486384779214859,6538,0.013642946275421413
全客群,DEV-OOS,gcard_v2,合计,5,389506,4.84551e+07,2.0125455e+06,0.04153423383831978,1228,0.0031527113831365883
全客群,DEV-OOS,gcard_v2,合计,6,1304299,1.2887082e+08,6.9484305e+06,0.05391779541969299,4762,0.00365100333589154
全客群,DEV-OOS,gcard_v2,合计,7,634005,2.131702e+07,1.1666418e+06,0.054728180170059204,1051,0.0016577156331574671
全客群,DEV-OOS,gcard_v2,合计,合计,3598662,1.595918e+09,6.153781e+07,0.038559507578611374,22688,0.006304565419036298
全客群,DEV-OOS,gcard_v4,低意愿,1,2956,104967.51,0.0,0.0,0,0.0
全客群,DEV-OOS,gcard_v4,低意愿,2,14298,742174.25,27738.791,0.037375036627054214,10,0.0006993985172751433
全客群,DEV-OOS,gcard_v4,低意愿,3,46939,1.720048e+06,31329.9,0.018214549869298935,8,0.0001704339674897207
全客群,DEV-OOS,gcard_v4,低意愿,4,53806,1.3331879e+06,12643.15,0.009483397006988525,7,0.0001300970152027655
全客群,DEV-OOS,gcard_v4,低意愿,5,147784,3.5762008e+06,83125.04,0.02324395254254341,21,0.00014209928003031453
全客群,DEV-OOS,gcard_v4,低意愿,6,576116,5.688048e+06,172640.73,0.030351489782333374,40,6.943046192086316e-05
全客群,DEV-OOS,gcard_v4,低意愿,7,387162,1.2526244e+06,48615.992,0.03881131112575531,13,3.3577675495012424e-05
全客群,DEV-OOS,gcard_v4,中意愿,1,26030,1.2428071e+07,109043.586,0.00877397507429123,29,0.001114099116404149
全客群,DEV-OOS,gcard_v4,中意愿,2,81851,2.1372432e+07,530460.25,0.024819836020469666,84,0.0010262550243735568
全客群,DEV-OOS,gcard_v4,中意愿,3,149098,2.2202506e+07,664289.25,0.029919560998678207,176,0.0011804316623965445
全客群,DEV-OOS,gcard_v4,中意愿,4,124405,1.1432038e+07,355928.16,0.031134270131587982,130,0.0010449740766046382
全客群,DEV-OOS,gcard_v4,中意愿,5,180197,1.0181367e+07,275777.16,0.02708645723760128,105,0.0005826956053652391
全客群,DEV-OOS,gcard_v4,中意愿,6,443907,1.0495633e+07,472286.56,0.04499838873744011,142,0.0003198868231408831
全客群,DEV-OOS,gcard_v4,中意愿,7,165398,1.6493402e+06,37875.18,0.022963836789131165,22,0.00013301249108211706
全客群,DEV-OOS,gcard_v4,高意愿,1,53591,2.3507357e+08,6.045301e+06,0.025716634467244148,660,0.01231550073706406
全客群,DEV-OOS,gcard_v4,高意愿,2,171951,4.8606266e+08,1.5687644e+07,0.032274942845106125,3185,0.01852271868148484
全客群,DEV-OOS,gcard_v4,高意愿,3,245144,3.4499488e+08,1.5054375e+07,0.043636515736579895,4959,0.02022892667167053
全客群,DEV-OOS,gcard_v4,高意愿,4,301247,2.5994016e+08,1.289272e+07,0.04959879815578461,6401,0.021248344381852767
全客群,DEV-OOS,gcard_v4,高意愿,5,61620,3.471671e+07,1.6597461e+06,0.04780827462673187,1104,0.017916260954235638
全客群,DEV-OOS,gcard_v4,高意愿,6,284888,1.12738056e+08,6.304495e+06,0.05592162162065506,4583,0.016087023672460756
全客群,DEV-OOS,gcard_v4,高意愿,7,81533,1.842077e+07,1.0817286e+06,0.05872331187129021,1019,0.012498006941974416
全客群,DEV-OOS,gcard_v4,低意愿,合计,1229061,1.4417251e+07,376093.62,0.026086362078785896,99,8.054929739044685e-05
全客群,DEV-OOS,gcard_v4,中意愿,合计,1170886,8.9761384e+07,2.4456602e+06,0.02724624052643776,688,0.000587589227303085
全客群,DEV-OOS,gcard_v4,高意愿,合计,1199974,1.4919468e+09,5.872601e+07,0.039361998438835144,21911,0.018259562290516295
全客群,DEV-OOS,gcard_v4,合计,1,82577,2.4760661e+08,6.1543445e+06,0.02485533244907856,689,0.008343727672354287
全客群,DEV-OOS,gcard_v4,合计,2,268100,5.0817728e+08,1.6245843e+07,0.0319688506424427,3279,0.012230511003356957
全客群,DEV-OOS,gcard_v4,合计,3,441181,3.689174e+08,1.5749995e+07,0.04269246757030487,5143,0.011657346984570958
全客群,DEV-OOS,gcard_v4,合计,4,479458,2.7270538e+08,1.3261291e+07,0.04862863942980766,6538,0.013636230910736707
全客群,DEV-OOS,gcard_v4,合计,5,389601,4.847428e+07,2.0186484e+06,0.04164370149374008,1230,0.0031570760855336613
全客群,DEV-OOS,gcard_v4,合计,6,1304911,1.28921736e+08,6.949422e+06,0.05390419065952301,4765,0.0036515900318105986
全客群,DEV-OOS,gcard_v4,合计,7,634093,2.1322734e+07,1.1682198e+06,0.054787520319223404,1054,0.001662216741077413
全客群,DEV-OOS,gcard_v4,合计,合计,3599921,1.5961254e+09,6.154777e+07,0.03856073319911957,22698,0.006305138362758516
全客群,DEV-OOS,gcard_v5,低意愿,1,2043,50431.5,0.0,0.0,0,0.0
全客群,DEV-OOS,gcard_v5,低意愿,2,10081,520820.5,23301.95,0.04474084451794624,3,0.0002975895248487253
全客群,DEV-OOS,gcard_v5,低意愿,3,36644,1.1781691e+06,137704.14,0.11687977612018585,4,0.00010915838882218098
全客群,DEV-OOS,gcard_v5,低意愿,4,45075,674497.5,4100.0,0.0060785990208387375,1,2.218524681087077e-05
全客群,DEV-OOS,gcard_v5,低意愿,5,127082,1.8992661e+06,31796.1,0.016741255298256874,6,4.721361011000771e-05
全客群,DEV-OOS,gcard_v5,低意愿,6,590832,2.7293208e+06,127051.21,0.046550486236810684,24,4.062068405231944e-05
全客群,DEV-OOS,gcard_v5,低意愿,7,388697,571890.75,4997.34,0.008738277480006218,2,5.145396028268805e-06
