decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,959857,0.10001825605112027,864,0.0009001340824727017,864,0.0009001340824727017,0.005760957297169285,1498613,0.1735116090022868,1.1104934136916458
2,959514,0.0999825150377969,1889,0.0019687049902346395,2753,0.001434324057204157,0.009179831988093105,1496724,0.1949507433916509,1.2477062357704563
3,959676,0.09999939563301086,3416,0.00355953467628658,6169,0.002142722921855739,0.013713662767403401,1493308,0.22229218590511646,1.4226944801111108
4,959680,0.09999981243783096,6470,0.006741830610203401,12639,0.0032924977473000813,0.02107234832294785,1486838,0.2582171764913059,1.6526183777816807
5,959683,0.10000012504144602,14280,0.014879913471427544,26919,0.005609983306970434,0.03590451122626982,1472558,0.30688470009219726,1.964095890613461
6,959681,0.09999991663903599,35032,0.03650379657406993,61951,0.01075894771374749,0.0688584507000446,1437526,0.3744798731454464,2.396712445232529
7,959681,0.09999991663903599,92418,0.09630074993669771,154369,0.0229791960786999,0.14706938656184565,1345108,0.46720615092638323,2.990170838846499
8,959682,0.10000002084024101,212700,0.22163591689747228,367069,0.047811292649881064,0.3059975404128548,1132408,0.5899912679408388,3.7760091151898063
9,959682,0.10000002084024101,421239,0.43893602255747216,788308,0.09126960603607492,0.5841355339627834,711169,0.7410465133242053,4.742779327663562
10,959682,0.10000002084024101,711169,0.7410465133242053,1499477,0.1562473103063953,1.0,0,0.0,0.0
