intent_level,1,2,3,4,5,6,7
中意愿,0.040484,0.037619,0.033213,0.033909,0.021302,0.021051,0.027363
低意愿,0.000981,0.002733,0.002445,0.00237,0.002955,0.002619,0.00309
高意愿,0.397284,0.432505,0.423736,0.454753,0.399883,0.446654,0.505079
