final_flag,n_samples,positive,bad_rate,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV,3600000,550617,0.152949,0.9396956936234871,0.7363226242217952,0.9293541852303815,0.7128717018447747,0.9246900810597988,0.7055775239299678,0.9263030758166584,0.7073242302297612,0.9363881095256095,0.7282439956055183
DEV-OOS,3600000,624900,0.173583,0.9341421633919025,0.7216725585037843,0.9251700635607276,0.7019509897022846,0.9201445293406312,0.6911141912374525,0.922193502788889,0.6971757131640206,0.9325716970067972,0.7173952369234982
OOT,1200000,154072,0.128393,0.9369690366196496,0.7369020869885629,0.9286924518180828,0.7182550288446671,0.9229373310041687,0.7083705253756165,0.9274147859129882,0.7136596948385349,0.9357049895237733,0.7335157958585128
OOT-OOS,1200000,171478,0.142898,0.931592942878607,0.7197622034463771,0.9218989368087569,0.6989286182710859,0.9163054091511053,0.6856463085164519,0.9207005511057862,0.6954710773072368,0.9296756473316192,0.7155380354499719
