segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct
全客群,DEV-OOS,gcard_v4,低意愿,1,2956,0.0008211291303336935,0.0024050881119814234,0.0357968925972123
全客群,DEV-OOS,gcard_v4,低意愿,2,14298,0.003971753824597818,0.011633271253420294,0.05333084669899291
全客群,DEV-OOS,gcard_v4,低意愿,3,46939,0.013038897242467266,0.03819094414353722,0.10639397435519662
全客群,DEV-OOS,gcard_v4,低意愿,4,53806,0.014946439102413635,0.04377813631707458,0.11222255129750677
全客群,DEV-OOS,gcard_v4,低意愿,5,147784,0.041052011974707224,0.12024138753080604,0.379321408312607
全客群,DEV-OOS,gcard_v4,低意愿,6,576116,0.1600357341174987,0.4687448385393402,0.44149830908008286
全客群,DEV-OOS,gcard_v4,低意愿,7,387162,0.10754736006706814,0.31500633410384027,0.6105760511470715
全客群,DEV-OOS,gcard_v4,中意愿,1,26030,0.00723071422956226,0.022231028469039685,0.3152209452995386
全客群,DEV-OOS,gcard_v4,中意愿,2,81851,0.022736887837260873,0.06990518291276862,0.30530026109660574
全客群,DEV-OOS,gcard_v4,中意愿,3,149098,0.041417019984605216,0.12733775961109792,0.33795199702616385
全客群,DEV-OOS,gcard_v4,中意愿,4,124405,0.034557702794033536,0.10624860148639577,0.25947006828543895
全客群,DEV-OOS,gcard_v4,中意愿,5,180197,0.050055820669398024,0.1538979883609506,0.46251677998773105
全客群,DEV-OOS,gcard_v4,中意愿,6,443907,0.12331020597396443,0.3791205975645793,0.34018182082916
全客群,DEV-OOS,gcard_v4,中意愿,7,165398,0.045944897124131336,0.1412588415951681,0.260841863890628
全客群,DEV-OOS,gcard_v4,高意愿,1,53591,0.014886715569591666,0.044660134302909896,0.6489821621032491
全客群,DEV-OOS,gcard_v4,高意愿,2,171951,0.04776521484777027,0.14329560473810266,0.6413688922044013
全客群,DEV-OOS,gcard_v4,高意愿,3,245144,0.06809704990748408,0.2042910929736811,0.5556540286186396
全客群,DEV-OOS,gcard_v4,高意愿,4,301247,0.08368155856753523,0.2510446059664626,0.6283073804170543
全客群,DEV-OOS,gcard_v4,高意愿,5,61620,0.017117042290650267,0.051351112607439825,0.15816181169966195
全客群,DEV-OOS,gcard_v4,高意愿,6,284888,0.07913729217946727,0.23741181058922944,0.21831987009075715
全客群,DEV-OOS,gcard_v4,高意愿,7,81533,0.022648552565459074,0.06794563882217448,0.12858208496230047
全客群,DEV-OOS,gcard_v4,低意愿,合计,1229061,0.3414133254590865,1.0,
全客群,DEV-OOS,gcard_v4,中意愿,合计,1170886,0.3252532486129557,1.0,
全客群,DEV-OOS,gcard_v4,高意愿,合计,1199974,0.33333342592795784,1.0,
全客群,DEV-OOS,gcard_v4,合计,1,82577,0.02293855892948762,,1.0
全客群,DEV-OOS,gcard_v4,合计,2,268100,0.07447385650962896,,1.0
全客群,DEV-OOS,gcard_v4,合计,3,441181,0.12255296713455656,,1.0
全客群,DEV-OOS,gcard_v4,合计,4,479458,0.1331857004639824,,1.0
全客群,DEV-OOS,gcard_v4,合计,5,389601,0.10822487493475551,,1.0
全客群,DEV-OOS,gcard_v4,合计,6,1304911,0.3624832322709304,,1.0
全客群,DEV-OOS,gcard_v4,合计,7,634093,0.17614080975665855,,1.0
全客群,DEV-OOS,gcard_v4,合计,合计,3599921,1.0,,
全客群,DEV-OOS,gcard_v5,低意愿,1,2043,0.0005675,0.0017018561310970682,0.02473665092626226
全客群,DEV-OOS,gcard_v5,低意愿,2,10081,0.002800277777777778,0.00839765622006341,0.037598555881277924
全客群,DEV-OOS,gcard_v5,低意愿,3,36644,0.010178888888888888,0.03052511799702446,0.08305643322438655
全客群,DEV-OOS,gcard_v5,低意愿,4,45075,0.012520833333333333,0.037548294228683485,0.09400730785594515
全客群,DEV-OOS,gcard_v5,低意愿,5,127082,0.03530055555555556,0.10586161568873109,0.3261816455127629
全客群,DEV-OOS,gcard_v5,低意愿,6,590832,0.16412,0.4921737942478429,0.4527753595644764
全客群,DEV-OOS,gcard_v5,低意愿,7,388697,0.1079713888888889,0.3237916654865576,0.6129968316950353
全客群,DEV-OOS,gcard_v5,中意愿,1,30432,0.008453333333333334,0.025369598164638955,0.36847075917181255
全客群,DEV-OOS,gcard_v5,中意愿,2,100337,0.02787138888888889,0.0836458126657919,0.3742214365102453
全客群,DEV-OOS,gcard_v5,中意愿,3,176089,0.04891361111111111,0.14679637129380615,0.3991192083301224
全客群,DEV-OOS,gcard_v5,中意愿,4,152821,0.04245027777777778,0.1273990326340132,0.3187197070183781
全客群,DEV-OOS,gcard_v5,中意愿,5,184477,0.05124361111111111,0.15378901684470625,0.4734975167156479
全客群,DEV-OOS,gcard_v5,中意愿,6,402587,0.11182972222222222,0.3356161414401782,0.30851658962443446
全客群,DEV-OOS,gcard_v5,中意愿,7,152803,0.042445277777777776,0.12738402695686535,0.24097884695147243
全客群,DEV-OOS,gcard_v5,高意愿,1,50115,0.013920833333333334,0.0417625,0.6067925899019252
全客群,DEV-OOS,gcard_v5,高意愿,2,157704,0.04380666666666667,0.13142,0.5881800076084768
全客群,DEV-OOS,gcard_v5,高意愿,3,228461,0.06346138888888889,0.19038416666666666,0.5178243584454911
全客群,DEV-OOS,gcard_v5,高意愿,4,281588,0.0782188888888889,0.23465666666666668,0.5872729851256767
全客群,DEV-OOS,gcard_v5,高意愿,5,78046,0.021679444444444446,0.06503833333333334,0.20032083777158918
全客群,DEV-OOS,gcard_v5,高意愿,6,311493,0.08652583333333333,0.2595775,0.23870805081108917
全客群,DEV-OOS,gcard_v5,高意愿,7,92593,0.02572027777777778,0.07716083333333333,0.1460243213534923
全客群,DEV-OOS,gcard_v5,低意愿,合计,1200454,0.3334594444444444,1.0,
全客群,DEV-OOS,gcard_v5,中意愿,合计,1199546,0.3332072222222222,1.0,
全客群,DEV-OOS,gcard_v5,高意愿,合计,1200000,0.3333333333333333,1.0,
全客群,DEV-OOS,gcard_v5,合计,1,82590,0.022941666666666666,,1.0
全客群,DEV-OOS,gcard_v5,合计,2,268122,0.07447833333333333,,1.0
全客群,DEV-OOS,gcard_v5,合计,3,441194,0.12255388888888889,,1.0
全客群,DEV-OOS,gcard_v5,合计,4,479484,0.13319,,1.0
全客群,DEV-OOS,gcard_v5,合计,5,389605,0.10822361111111112,,1.0
全客群,DEV-OOS,gcard_v5,合计,6,1304912,0.36247555555555555,,1.0
全客群,DEV-OOS,gcard_v5,合计,7,634093,0.17613694444444444,,1.0
全客群,DEV-OOS,gcard_v5,合计,合计,3600000,1.0,,
全客群,DEV-OOS,gcard_v6,低意愿,1,1894,0.0005261111111111111,0.0015783333333333333,0.02293255842111636
全客群,DEV-OOS,gcard_v6,低意愿,2,7589,0.0021080555555555557,0.006324166666666666,0.028304279395200693
全客群,DEV-OOS,gcard_v6,低意愿,3,32399,0.008999722222222221,0.026999166666666668,0.07343481552332988
全客群,DEV-OOS,gcard_v6,低意愿,4,43585,0.012106944444444444,0.03632083333333333,0.09089980061899876
全客群,DEV-OOS,gcard_v6,低意愿,5,125075,0.034743055555555555,0.10422916666666666,0.32103027425212716
全客群,DEV-OOS,gcard_v6,低意愿,6,596970,0.165825,0.497475,0.45747912502912075
全客群,DEV-OOS,gcard_v6,低意愿,7,392488,0.10902444444444444,0.3270733333333333,0.6189754499734266
全客群,DEV-OOS,gcard_v6,中意愿,1,28973,0.008048055555555555,0.024144166666666668,0.35080518222545104
全客群,DEV-OOS,gcard_v6,中意愿,2,93455,0.02595972222222222,0.07787916666666667,0.3485540164551958
全客群,DEV-OOS,gcard_v6,中意愿,3,168392,0.046775555555555556,0.14032666666666666,0.38167336817817105
全客群,DEV-OOS,gcard_v6,中意愿,4,141935,0.039426388888888886,0.11827916666666667,0.2960161340107282
全客群,DEV-OOS,gcard_v6,中意愿,5,195460,0.054294444444444444,0.16288333333333332,0.501687606678559
全客群,DEV-OOS,gcard_v6,中意愿,6,417015,0.1158375,0.3475125,0.31957327390659296
全客群,DEV-OOS,gcard_v6,中意愿,7,154770,0.042991666666666664,0.128975,0.2440809155754755
全客群,DEV-OOS,gcard_v6,高意愿,1,51723,0.0143675,0.0431025,0.6262622593534326
全客群,DEV-OOS,gcard_v6,高意愿,2,167078,0.04641055555555555,0.13923166666666667,0.6231417041496036
全客群,DEV-OOS,gcard_v6,高意愿,3,240403,0.06677861111111111,0.20033583333333332,0.544891816298499
全客群,DEV-OOS,gcard_v6,高意愿,4,293964,0.08165666666666667,0.24497,0.613084065370273
全客群,DEV-OOS,gcard_v6,高意愿,5,69070,0.019186111111111112,0.057558333333333336,0.1772821190693138
全客群,DEV-OOS,gcard_v6,高意愿,6,290927,0.08081305555555555,0.24243916666666668,0.22294760106428632
