month,psi,n_samples,score_column
2025-06,0.0,1200000,model_score
2025-07,0.0041641983633520264,1200000,model_score
2025-08,0.007545592635393388,1200000,model_score
2025-09,0.01716493509552705,1200000,model_score
2025-10,0.024995022249859666,1200000,model_score
2025-11,0.031111822279726826,1200000,model_score
2025-12,0.03559714958673331,1200000,model_score
2026-01,0.04563004353591309,1200000,model_score
2025-06,0.0,1199560,gcard_v2
2025-07,0.0034707343168026627,1199596,gcard_v2
2025-08,0.007430569231734957,1199605,gcard_v2
2025-09,0.018652443657447646,1199596,gcard_v2
2025-10,0.029177307950186318,1199614,gcard_v2
2025-11,0.037134802297244626,1199634,gcard_v2
2025-12,0.0430082625441607,1199617,gcard_v2
2026-01,0.057947849208635466,1199596,gcard_v2
2025-06,0.0,1199962,gcard_v4
2025-07,0.0026085206220945413,1199968,gcard_v4
2025-08,0.005310319597180269,1199979,gcard_v4
2025-09,0.015353722053524572,1199978,gcard_v4
2025-10,0.02306118723282235,1199968,gcard_v4
2025-11,0.028905001271816822,1199972,gcard_v4
2025-12,0.033242447163449956,1199974,gcard_v4
2026-01,0.04362469913578638,1199972,gcard_v4
2025-06,0.0,1200000,gcard_v5
2025-07,0.007525732641062209,1200000,gcard_v5
2025-08,0.012177464840501698,1200000,gcard_v5
2025-09,0.025404478537790244,1200000,gcard_v5
2025-10,0.03577083910779828,1200000,gcard_v5
2025-11,0.051439327673508096,1200000,gcard_v5
2025-12,0.06493834416945225,1200000,gcard_v5
2026-01,0.07991026448597,1200000,gcard_v5
2025-06,0.0,1200000,gcard_v6
2025-07,0.003590596893097213,1200000,gcard_v6
2025-08,0.008351714476718928,1200000,gcard_v6
2025-09,0.018472743416184854,1200000,gcard_v6
2025-10,0.028252485096216598,1200000,gcard_v6
2025-11,0.034116216466888546,1200000,gcard_v6
2025-12,0.03940775711085989,1200000,gcard_v6
2026-01,0.051315462979441596,1200000,gcard_v6
