intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,54179,15056261.410000002,294434.39,0.01955561091709286,136,0.00251
中意愿,54180,38179804.36,1074308.79,0.028138142874444,438,0.008084
高意愿,54179,119257488.48,4455785.649999999,0.037362732577981915,1505,0.027778
