intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,30,0,0.0
低意愿,2,78,0,0.0
低意愿,3,618,0,0.0
低意愿,4,1863,0,0.0
低意愿,5,4340,0,0.0
低意愿,6,48913,1,2e-05
低意愿,7,53227,0,0.0
中意愿,1,243,0,0.0
中意愿,2,1347,0,0.0
中意愿,3,4835,1,0.000207
中意愿,4,5751,0,0.0
中意愿,5,17132,3,0.000175
中意愿,6,60632,2,3.3e-05
中意愿,7,19127,1,5.2e-05
高意愿,1,4938,5,0.001013
高意愿,2,11954,12,0.001004
高意愿,3,17571,14,0.000797
高意愿,4,11436,4,0.00035
高意愿,5,25012,14,0.00056
高意愿,6,33457,15,0.000448
高意愿,7,4701,1,0.000213
