intent_level,1,2,3,4,5,6,7
中意愿,0.037222,0.037006,0.034057,0.031348,0.020748,0.02089,0.026894
低意愿,0.0,0.002994,0.002245,0.000842,0.001592,0.002658,0.002826
高意愿,0.406011,0.436078,0.423411,0.452336,0.408481,0.450657,0.502182
