intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,163248,530789.73,5810.6900000000005,0.010947254009605651,2,1.2e-05
中意愿,163247,9309894.559999999,272194.69,0.029237139931690057,64,0.000392
高意愿,163248,173894032.61,5928186.98,0.03409080168550357,2086,0.012778
