feature,real_importance,null_p75,null_mean,score
his_light_suc_trade_heavy_advance_repay_same_month_count,12.866900444030762,0.0,5.206038999557495,9999.0
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,538.6766901016235,0.0,3.3083120346069337,9999.0
recent_6m_credit_fundcls_other_month_cnt,13.491999626159668,0.0,1.3975150108337402,9999.0
d30_prc_amt_mor_3_000_apl_ord_cnt,9.601140022277832,0.0,2.7834099769592284,9999.0
3m_used_lmt_first_der_great_0_count,27.43079948425293,0.0,4.882769060134888,9999.0
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,105959.1203250885,118.18211627006531,92.41940546035767,896.5749105639192
ord_apl_sum_prc_amt_90_day,58384.23911476135,76.85252737998962,60.69560174942016,759.691855364578
mdt_lst_60d_180d_ord_cnt_typ_btch_rte,39877.28580093384,60.675525426864624,39.64686107635498,657.2219279584157
cnt_other_info_cash_uid_recent_days_360,32327.135516166687,53.49592399597168,41.30162520408631,604.2915628226361
unpaid_principal_future_light_add_heavy,48289.7865819931,93.8475376367569,73.56324880123138,514.5557123608497
d90_max_due_prc_amt_divide_d90_max_faqi_prc_amt,33020.214000701904,93.46845149993896,86.05022678375244,353.2765705519735
d30_apl_ord_days_cnt_all,4312.747310638428,12.757625341415405,6.140969514846802,338.05251331827765
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,44360.11542606354,164.30607676506042,121.37173709869384,269.98463051061475
cnt_event_type_loan_uid_recent_days_30,5307.502429008484,26.928799867630005,20.174537038803102,197.09390894127492
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,28350.072076797485,167.91981482505798,129.94104108810424,168.83101083891214
cnt_event_result_1_uid_recent_days_120,11699.91810798645,79.97164916992188,65.90926258563995,146.30082322207386
dvc_cnt_cjj_30,2823.9171981811523,20.255579710006714,15.27656192779541,139.41428676001178
cnt_ord_cnt_typ_btch_30d_90d,3632.1899843215942,28.894149780273438,18.267165613174438,125.70676112440438
rsk_avl_lmt_ch_les_1000_cnt_3m,1401.4694023132324,12.032549619674683,6.239131021499634,116.47318703108935
median_amt_event_type_loan_recent_180,12959.074659347534,111.98275017738342,84.46975753307342,115.72384709984388
cnt_ord_cnt_typ_btch_30d,1291.513011932373,13.320199728012085,11.49782943725586,96.95898247053682
d90_aplord_suc_month_cnt,1163.720603942871,14.606750249862671,6.340194988250732,79.67005555899144
d360_apl_ord_ddf_mdl_ord_crt_dte_min,15531.152798652649,213.1652274131775,155.45477800369264,72.85969192596626
12ord_apply_amt_second_der_stddev,4589.469219207764,67.12009954452515,58.47981717586517,68.37697277494752
ord_apl_sum_prc_amt_360_day,7090.5055322647095,116.41050100326538,84.86110060214996,60.90950104291551
stg_pln_cnt_3m_ftr_adv_rto,889.0041999816895,20.754950284957886,14.575299525260926,42.83335723651401
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,3409.171293258667,89.79995083808899,72.11290438175202,37.964066365754114
ord_apl_fal_cnt_90_day,1087.4747905731201,29.340418577194214,18.03976402282715,37.06405168392502
max_amt_event_type_repay_recent_60,2331.034125328064,75.67015290260315,66.74092140197754,30.805199089902636
dau_90d,3841.1217918395996,124.70413017272949,105.41757497787475,30.801881112672103
rsk_lmt_rate_ch_1m_grt_0p8_cnt_1m,754.700403213501,25.015725135803223,13.189534950256348,30.16903963872517
d60_apl_ord_ddf_mdl_ord_crt_dte_max,2615.1302547454834,93.26364421844482,59.36431574821472,28.040189472118943
cnt_ord_cnt_suc_30d_90d,465.37500190734863,18.92105007171631,12.053543901443481,24.595622343550776
tot_pending_repay_tot_fee_stddev,2137.2565202713013,88.08204555511475,74.27279815673828,24.264383357604654
max_con_dau_7d,593.8875951766968,25.572617292404175,16.704678535461426,23.223574982021844
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,1072.2832012176514,48.959275245666504,36.413505983352664,21.90153338335133
mdt_lst_30d_90d_ord_cnt_typ_btch_rte,633.2432298660278,30.128275394439697,23.843132042884825,21.018236907874773
stg_pln_sum_prc_amt_ovd_3d_pls_rep_3m_rto_his,174.72969818115234,10.185250043869019,8.122604894638062,17.155170214631145
cnt_avg_ord_span_30d,2145.795307159424,127.08651447296143,102.86008358001709,16.88452402725985
ddf_mdl_max_dau_dt_90d,3014.076852798462,193.38309979438782,160.62017707824708,15.586040641623502
d30_suc_ord_prc_amt_avg_all,811.4397897720337,53.1860249042511,42.07021496295929,15.256635389330933
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,2862.2025060653687,203.0810707807541,172.28463134765624,14.093891149290801
d180_due_repay_amt_avg_divide_d180_faqi_trade_amt_avg,1581.0422945022583,113.97271692752838,94.0524130821228,13.872112002976928
d360_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,411.3028087615967,30.007309675216675,20.857015752792357,13.70675389474504
rsk_lmt_rate_ch_1m_grt_0p2_cnt_3m,456.4329071044922,35.86646020412445,29.17381947040558,12.72589780276128
rsk_avl_lmt_ch_1m_les_500_cnt_3m,408.0923023223877,32.19031202793121,21.509715366363526,12.677488244546684
d90_aplord_fal_month_cnt,287.3117971420288,23.58330726623535,13.301140475273133,12.182845853574504
af_3m_inter_1m_sum_up,758.9120988845825,64.58882451057434,50.79988753795624,11.749897983672625
d15_d360_suc_ord_cnt_rat,223.83349800109863,20.390275478363037,15.879878902435303,10.977463165645682
sum_avb_lmt_2m_v2,1065.254002571106,98.16707396507263,82.72847652435303,10.851438873996775
rsk_avl_lmt_ch_1m_les_5000_cnt_3m,648.9758920669556,61.175699949264526,42.00155568122864,10.608393407924673
d180_due_repay_amt_larger_than_rsk_avl_lmt_cash_his_t_day_count_sum,252.76799774169922,23.904102087020874,14.634541606903076,10.574251934731477
d360_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,381.844783782959,38.00800061225891,25.10418848991394,10.046431741526563
recent_24m_credit_fundcls_lv1_month_cnt,28.114200592041016,2.821150064468384,6.254940176010132,9.96551050088817
ord_apl_suc_min_stg_num_360_day_bjq_12m,124.01770210266113,13.127025365829468,8.544739985466004,9.4475099001094
d30_d360_suc_ord_cnt_rat,322.1538038253784,35.24326491355896,22.900587940216063,9.140861512562017
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,473.7753963470459,53.852009534835815,42.32149147987366,8.797729192270342
median_amt_event_result_1_event_type_repay_recent_30,925.6519947052002,106.25674104690552,73.5508786201477,8.711466073447372
d365_aplord_fal_month_cnt,271.5120048522949,31.8840754032135,17.64159502983093,8.515599132754843
his_3d_app_str_ctn_v2,514.2237014770508,63.544817209243774,45.40389745235443,8.092299640799775
percent_true_followup_code_other_called_phone_social_relations_friend_180d,177.62249946594238,22.264174699783325,15.717240905761718,7.977951209108641
percent_true_followup_code_wfjt_call_mode_manual_60d,205.13688850402832,26.197799682617188,21.745706462860106,7.8303098347660525
percent_true_followup_code_other_30d,164.37825870513916,21.225287437438965,13.17731351852417,7.744453835531802
max_avl_lmt_lft_rep_prc_1m_cash_3m,1097.0595970153809,142.51796078681946,113.6396829366684,7.697693616711085
6thord_con_dsc_apply_amt_max,116.1788010597229,15.848100185394287,13.380060076713562,7.330771493153106
d60_d180_suc_ord_cnt_rat,170.87064361572266,23.694124698638916,18.90864586830139,7.211519555543579
clk_cnt_14d,1346.769694328308,187.31896722316742,126.9386826992035,7.18971342994753
rsk_lmt_rate_ch_1m_grt_0p8_rate_1m,206.90650367736816,30.295324563980103,15.675571012496949,6.829651329214393
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,1343.7679996490479,200.1576189994812,172.98892359733583,6.713549083797459
rsk_avl_lmt_ch_les_5000_cnt_1m,107.5954999923706,16.123225688934326,9.839330101013184,6.673323444589343
d30_suc_ord_prc_amt_sum_all,136.423602104187,20.62870454788208,17.416319561004638,6.613289835410117
used_rate_ch_grt_0p5_cnt_3m,242.55409622192383,37.35024094581604,26.385838985443115,6.494043681640417
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,394.968807220459,61.427125453948975,55.01694974899292,6.4298761223420975
his_1d_app_str_ctn_v2,150.24010753631592,24.59142017364502,17.639352917671204,6.109452259179826
d180_apl_ord_prc_amt_per_stg_min,273.05080127716064,46.41860008239746,35.97156991958618,5.882357520314471
mid_2_pmt_blc_not_eng_rat_1m,402.6162004470825,69.0331163406372,63.22383940219879,5.832218242334766
rsk_lmt_rate_ch_1m_grt_0p2_cnt_24m,609.0191974639893,105.93326461315155,82.00318927764893,5.749083630038339
stg_pln_min_rep_prc_6m_his,151.970703125,26.43657422065735,18.039690351486207,5.748502126506663
rsk_avl_lmt_ch_les_500_cnt_1m,13.544500350952148,2.378467559814453,4.4710735321044925,5.694633208286755
6thord_con_adv_repay_max,156.54980087280273,28.12749981880188,18.971917343139648,5.565720447295381
d90_d180_apl_ord_cnt_rat,391.7253112792969,71.86028909683228,55.01983232498169,5.451207004628719
f54__percent_true_call_mode_is_manual_called_phone_social_relations_is_self_is_can_contact_person_is_no_30d,140.10959148406982,25.773393034934998,16.87197153568268,5.436210563900369
d30_d90_suc_ord_prc_amt_avg_rat_all,303.398699760437,57.31245994567871,37.838007307052614,5.293765091360608
d360_apl_ord_stg_num_sum_all,653.805004119873,126.44212126731873,93.30359411239624,5.170784842636619
3m_repay_ftr_amt_first_der_great_0_count,65.81869888305664,12.771750211715698,5.9056449890136715,5.153459611407078
m3_rep_apl_stg_pln_cnt_max,113.04729843139648,22.02685046195984,10.99780056476593,5.132249779723528
credit_reject_cnt_24m,491.2273988723755,96.97278785705566,81.78342933654785,5.065621085334551
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,349.69350242614746,72.3144017457962,46.20089888572693,4.83573802705871
rsk_lmt_rate_ch_1m_grt_0p95_rate_1m,168.40439987182617,35.9997992515564,28.112774062156678,4.677926082172402
af_q4_q3_trend,382.8034038543701,88.29968667030334,63.51638996601105,4.33527477038164
rsk_lmt_rate_ch_1m_grt_0p2_rate_1m,50.6598014831543,11.92597508430481,6.888435554504395,4.247854043383436
avg_avb_lmt_2m_v2,508.2710962295532,120.2893488407135,99.17632322311401,4.225404003995425
m6_stg_pln_pmt_not_eng_cnt_max,205.87289714813232,49.00871825218201,38.46540005207062,4.200740286427839
3ord_apply_amt_second_der_small_0_count,14.328100204467773,3.4151248931884766,6.740390086174012,4.195483518932326
ord_apl_suc_cnt_360_day_07_12,122.30239963531494,29.387149810791016,17.89057650566101,4.161764595163471
ord_apl_fal_cnt_360_day,187.69679260253906,45.39194464683533,33.04547147750854,4.135024266153027
