month,total,positive,positive_rate,negative
2025-06,121345,21278,0.175351271168981,100067
2025-07,121313,20849,0.17186121850090263,100464
2025-08,121780,21206,0.17413368369190343,100574
2025-09,121516,19505,0.1605138417986109,102011
2025-10,121787,18403,0.1511080821434143,103384
2025-11,122133,17618,0.14425257710856199,104515
2025-12,121746,17068,0.14019351765150395,104678
2026-01,122095,16181,0.1325279495474835,105914
