feature,gain,split
stg_pln_sum_rep_prc_his_d0_afn_zd_rto_v2,764.358137845993,84
3stg_pln_repay_amt_second_der_mean_rto,759.9171521663666,81
his_trade_fail_count_mon_divide_his_trade_success_count_mon,757.1309008598328,67
m3_manual_deduct_rep_apl_stg_pln_cnt_avg,752.5125341415405,36
rsk_avl_lmt_ch_1m_les_500_rate_3m,751.8520631790161,56
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,745.2103300094604,68
18ord_apply_amt_first_der_min,742.9446201324463,59
12m_used_lmt_first_der_avg,737.3909497261047,70
12m_used_lmt_second_der_small_0_sum,736.0147542953491,67
stg_pln_min_rep_prc_his,733.6435732841492,84
18m_used_lmt_second_der_min,731.1450048685074,60
min_avl_lmt_lft_rep_prc_2m_cash_3m,730.7413508892059,45
3m_used_lmt_first_der_sum,730.6128895282745,68
stg_pln_sum_rep_prc_his_d0_mrn_pk,728.4552292823792,75
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,728.0122201442719,57
min_amt_event_type_repay_recent_180,727.4952487945557,68
3m_used_lmt_first_der_small_0_sum,727.4382128715515,56
ddf_fst_lst_ord_crt_dte,726.5228499891236,64
stddev_amt_event_type_repay_all,724.6326818466187,68
3m_used_lmt_second_der_sum,716.0781016349792,61
rsi_abf_1y_inter_3m,712.1084027290344,73
18m_used_lmt_first_der_sum,708.5655696392059,71
12m_used_lmt_first_der_mean_diff,707.3727326393127,57
his_7d_app_str_ctn_v2,704.513296186924,52
max_avl_lmt_lft_rep_prc_1m_cash_36m,701.353017449379,70
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,700.2340906858444,46
6m_used_lmt_first_der_mean_diff,696.4390079975128,74
credit_unique_fund_cnt_3m,694.5656723976135,32
18stg_pln_repay_amt_second_der_mean_rto,690.5460541248322,70
cnt_event_type_limit_type_heavy_all,685.1741137504578,81
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,680.5417981147766,24
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,678.8017811775208,52
stg_pln_pay_off_cnt_d0_rep_6m_rto,677.0813989639282,55
min_ddf_rep_tim_dte_adv,676.6101169586182,53
