segment_column,segment_value,count,ratio
credit_limit,14400.0,2738,0.001655576080614099
credit_limit,14500.0,2732,0.0016519480833592835
credit_limit,13400.0,2731,0.0016513434171501478
credit_limit,12800.0,2690,0.0016265521025755757
credit_limit,13000.0,2683,0.0016223194391116243
credit_limit,13600.0,2620,0.0015842254679360626
credit_limit,12200.0,2613,0.0015799928044721112
credit_limit,12300.0,2612,0.0015793881382629754
credit_limit,15600.0,2558,0.0015467361629696366
credit_limit,11400.0,2554,0.001544317498133093
credit_limit,18200.0,2546,0.001539480168460006
credit_limit,13300.0,2487,0.0015038048621209877
credit_limit,11100.0,2454,0.0014838508772195029
credit_limit,50000.0,2419,0.0014626875598997464
credit_limit,13500.0,2410,0.0014572455640175232
credit_limit,1000.0,2390,0.0014451522398348051
credit_limit,1800.0,2369,0.0014324542494429512
credit_limit,18700.0,2336,0.0014125002645414666
credit_limit,14300.0,2313,0.0013985929417313408
credit_limit,12900.0,2310,0.001396778943103933
credit_limit,10900.0,2301,0.0013913369472217099
credit_limit,11900.0,2295,0.0013877089499668945
credit_limit,22000.0,2292,0.0013858949513394867
credit_limit,16200.0,2285,0.0013816622878755356
credit_limit,12700.0,2263,0.0013683596312745456
credit_limit,15100.0,2262,0.0013677549650654099
credit_limit,15800.0,2242,0.0013556616408826917
credit_limit,14600.0,2241,0.0013550569746735557
credit_limit,17000.0,2225,0.0013453823153273814
credit_limit,17100.0,2223,0.0013441729829091096
credit_limit,15400.0,2221,0.0013429636504908378
credit_limit,16000.0,2178,0.001316963003497994
credit_limit,14200.0,2177,0.0013163583372888582
credit_limit,27000.0,2170,0.0013121256738249068
credit_limit,13100.0,2121,0.0012824970295772476
credit_limit,20500.0,2107,0.001274031702649345
credit_limit,17900.0,2103,0.0012716130378128013
credit_limit,14900.0,2075,0.0012546823839569962
credit_limit,16800.0,2065,0.001248635721865637
credit_limit,16300.0,2057,0.0012437983921925499
credit_limit,14700.0,2048,0.0012383563963103267
credit_limit,13700.0,2030,0.0012274724045458806
credit_limit,14800.0,2003,0.0012111464168992113
credit_limit,17600.0,2000,0.0012093324182718035
credit_limit,23400.0,1997,0.0012075184196443957
credit_limit,19800.0,1982,0.0011984484265073572
credit_limit,12500.0,1976,0.0011948204292525418
credit_limit,24000.0,1966,0.0011887737671611828
credit_limit,18000.0,1945,0.001176075776769329
credit_limit,13900.0,1944,0.001175471110560193
credit_limit,16600.0,1939,0.0011724477795145136
credit_limit,15300.0,1909,0.0011543077932404365
credit_limit,15500.0,1880,0.0011367724731754954
credit_limit,33000.0,1835,0.0011095624937643798
credit_limit,1400.0,1819,0.0010998878344182052
credit_limit,14100.0,1814,0.0010968645033725259
credit_limit,1300.0,1764,0.0010666311929157307
credit_limit,15200.0,1729,0.0010454678755959742
credit_limit,17500.0,1718,0.0010388165472954793
credit_limit,17300.0,1718,0.0010388165472954793
credit_limit,21000.0,1717,0.0010382118810863432
credit_limit,16100.0,1699,0.0010273278893218971
credit_limit,15900.0,1686,0.0010194672286031304
credit_limit,20400.0,1681,0.0010164438975574508
credit_limit,20200.0,1675,0.0010128159003026354
credit_limit,19600.0,1663,0.0010055599057930047
credit_limit,19200.0,1642,0.0009928619154011508
credit_limit,20700.0,1640,0.000991652582982879
credit_limit,21200.0,1633,0.0009874199195189276
credit_limit,15700.0,1632,0.0009868152533097916
credit_limit,18800.0,1630,0.0009856059208915198
credit_limit,16900.0,1629,0.000985001254682384
credit_limit,23300.0,1627,0.0009837919222641122
credit_limit,17800.0,1613,0.0009753265953362096
credit_limit,27600.0,1601,0.0009680706008265787
credit_limit,16400.0,1596,0.0009650472697808992
credit_limit,23100.0,1581,0.0009559772766438607
credit_limit,17200.0,1574,0.0009517446131799093
credit_limit,19500.0,1568,0.000948116615925094
credit_limit,20600.0,1568,0.000948116615925094
credit_limit,28000.0,1550,0.0009372326241606477
credit_limit,18400.0,1538,0.0009299766296510169
credit_limit,17400.0,1528,0.0009239299675596579
credit_limit,22400.0,1503,0.0009088133123312603
credit_limit,18600.0,1498,0.0009057899812855808
credit_limit,18900.0,1481,0.0008955106557302705
credit_limit,24600.0,1457,0.0008809986667110089
credit_limit,18100.0,1447,0.0008749520046196498
credit_limit,26400.0,1444,0.0008731380059922422
credit_limit,19300.0,1438,0.0008695100087374267
credit_limit,19700.0,1436,0.0008683006763191549
credit_limit,21600.0,1431,0.0008652773452734754
credit_limit,19000.0,1412,0.0008537886872998933
credit_limit,22600.0,1386,0.0008380673658623598
credit_limit,22500.0,1369,0.0008277880403070495
credit_limit,22800.0,1366,0.0008259740416796418
credit_limit,22300.0,1359,0.0008217413782156905
credit_limit,17700.0,1358,0.0008211367120065546
credit_limit,29200.0,1355,0.0008193227133791469
credit_limit,23600.0,1355,0.0008193227133791469
credit_limit,18500.0,1347,0.0008144853837060596
credit_limit,21500.0,1343,0.0008120667188695161
credit_limit,16700.0,1336,0.0008078340554055647
credit_limit,21300.0,1336,0.0008078340554055647
credit_limit,800.0,1334,0.0008066247229872929
credit_limit,20300.0,1328,0.0008029967257324775
credit_limit,20100.0,1314,0.0007945313988045749
credit_limit,25000.0,1294,0.0007824380746218569
credit_limit,19400.0,1272,0.000769135418020867
credit_limit,21800.0,1266,0.0007655074207660516
credit_limit,120000.0,1258,0.0007606700910929644
credit_limit,26000.0,1257,0.0007600654248838285
credit_limit,20900.0,1256,0.0007594607586746926
credit_limit,19900.0,1254,0.0007582514262564208
credit_limit,24200.0,1233,0.0007455534358645669
credit_limit,24900.0,1232,0.0007449487696554309
credit_limit,24800.0,1218,0.0007364834427275284
credit_limit,30600.0,1218,0.0007364834427275284
credit_limit,25700.0,1204,0.0007280181157996257
credit_limit,39600.0,1188,0.0007183434564534513
credit_limit,29700.0,1185,0.0007165294578260436
credit_limit,18300.0,1178,0.0007122967943620922
credit_limit,27300.0,1169,0.0007068547984798692
credit_limit,25900.0,1164,0.0007038314674341897
credit_limit,36300.0,1163,0.0007032268012250537
credit_limit,25600.0,1162,0.0007026221350159178
credit_limit,23000.0,1162,0.0007026221350159178
credit_limit,25500.0,1161,0.0007020174688067819
credit_limit,24400.0,1150,0.000695366140506287
credit_limit,25800.0,1136,0.0006869008135783844
credit_limit,25300.0,1124,0.0006796448190687535
credit_limit,26200.0,1120,0.00067722615423221
credit_limit,24300.0,1107,0.0006693654935134432
credit_limit,24700.0,1103,0.0006669468286768996
credit_limit,21400.0,1095,0.0006621094990038125
credit_limit,21100.0,1095,0.0006621094990038125
credit_limit,23500.0,1094,0.0006615048327946765
credit_limit,28300.0,1085,0.0006560628369124534
credit_limit,22700.0,1079,0.000652434839657638
credit_limit,23700.0,1073,0.0006488068424028226
credit_limit,21700.0,1069,0.000646388177566279
credit_limit,28600.0,1065,0.0006439695127297354
