feature,gain,split
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,647.5636075735092,69
18ord_apply_amt_first_der_min,646.272102355957,45
d15_suc_ord_prc_amt_avg_all,643.9982604980469,41
3m_repay_ftr_amt_second_der_mean_rto,640.7648243904114,58
stg_pln_sum_rep_prc_12m_his_d0_mrn_zd_rto,629.5109624862671,55
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,629.0216164588928,60
d60_apl_ord_prc_amt_sum,626.8274335861206,18
18m_used_lmt_second_der_sum,625.3620758056641,55
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,625.1897625923157,44
18m_repay_amt_second_der_mean_diff,619.2427396774292,60
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,617.9251245260239,57
6m_used_lmt_first_der_small_0_sum,612.1704417467117,54
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,608.7525978088379,55
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_sum,605.3605794906616,39
6m_used_lmt_first_der_max,595.540771484375,36
fst_fal_ord_prc_amt,589.8904637694359,57
6m_used_lmt_second_der_sum,587.5039057731628,51
6ord_apply_amt_second_der_mean_rto,587.4375910758972,53
rsk_avl_lmt_ch_1m_les_500_cnt_12m,587.2020177841187,23
his_720_day_csh_apl_ord_cnt_his_rto,576.388129234314,28
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_min,573.5927586555481,37
d360_apl_ord_stg_num_sum_all,571.8620338439941,25
min_rsk_avl_lmt_12m_bt_ch,569.7496313154697,33
m1_manual_rep_apl_suc_amt_sum,569.2882566452026,38
his_7d_app_str_ctn_v2,568.7347812652588,29
6m_used_lmt_first_der_median,568.1548781394958,46
credit_reject_cnt_12m,560.8056526184082,53
min_ddf_rep_tim_dte_adv,559.5852603912354,33
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,553.9603705406189,37
lst_app_str_hr,552.1126215457916,52
18m_used_lmt_second_der_min,550.0840110778809,44
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,548.2138019800186,52
last_amt_channel_hb_microcredit_lv1_all,545.4863010644913,61
last_day_diff_event_result_0_event_type_loan_all,540.1205506324768,60
min_avl_lmt_lft_rep_prc_2m_cash_3m,540.0867786407471,32
d360_apl_ord_prc_amt_min,538.4711503982544,32
12stg_pln_repay_amt_first_der_mean_rto,534.0780701637268,49
d180_apl_ord_prc_amt_avg,533.8103957176208,27
12m_used_lmt_second_der_mean_diff,533.5459076762199,48
cnt_event_type_limit_type_heavy_all,533.4552161991596,60
d90_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,532.0570363998413,21
18m_used_lmt_first_der_sum,530.9405512809753,52
36stg_pln_repay_amt_second_der_mean_diff,529.3440220355988,51
succloan_stage_num_mean_all,528.6031877994537,51
3m_repay_amt_first_der_max,526.7392315864563,36
m6_stg_pln_manual_deduct_rep_apl_cnt_sum,525.6937913894653,23
d360_due_repay_amt_sum_divide_d360_faqi_trade_amt_sum,523.3223688602448,38
18m_repay_amt_first_der_mean_diff,522.0125503540039,50
stg_pln_avg_prc_amt_3m_6m_ftr_rto_all,521.5039384365082,46
m3_manual_rep_apl_suc_stg_pln_cnt_avg,518.9517188072205,42
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,518.575984954834,14
18ord_apply_amt_first_der_median,518.0762913227081,43
m3_rep_apl_stg_pln_cnt_max,514.6197834014893,25
max_ddf_lag_crt_dte,510.13610804080963,56
6m_repay_amt_second_der_mean_diff,509.92747163772583,47
tot_pending_repay_tot_fee_stddev,503.7077088356018,37
succloan_day_diff_reud_stage_num_sum_all,500.2481460571289,46
sum_day_diff_shift1_event_type_loan_all,499.13414692878723,55
18m_repay_amt_first_der_median,496.7163305282593,43
stg_pln_sum_prc_amt_2m_ftr_his_rep_rto_all,493.7651882171631,35
avg_ddf_rep_dte_ord_crt_tim_7,492.73782896995544,51
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,491.9560794830322,27
credit_unique_fund_cnt_1m,485.8351979255676,23
avg_avl_lmt_lft_rep_prc_all_cash_36m,485.6989291906357,41
rsi_af_6m_inter_1m,484.9276032447815,43
