feature,gain,split
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,351.6448826789856,14
credit_reject_cnt_12m,346.1433296203613,30
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,342.7277512550354,26
percent_true_followup_code_wfjt_called_phone_social_relations_family_180d,341.6728105545044,15
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,337.38384199142456,28
m3_rep_apl_stg_pln_cnt_max,332.3799991607666,13
fst_fal_ord_prc_amt,330.39362812042236,29
credit_unique_fund_cnt_3m,328.0918025970459,10
avg_day_diff_shift1_event_type_repay_all,325.53477025032043,34
d30_apl_ord_ddf_mdl_ord_crt_dte_max,322.15265560150146,23
rsk_avl_lmt_ch_1m_les_500_rate_3m,321.9301142692566,19
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,321.69885993003845,19
18ord_apply_amt_first_der_min,318.07194089889526,22
div_amt_event_type_repay_loan,309.80260038375854,26
min_ddf_rep_tim_dte_adv,307.8162202835083,20
6m_repay_amt_first_der_max,307.60370540618896,10
d720_max_ovd_repay_amt_divide_d720_max_fail_prc_amt,304.7968683242798,28
recent_1m_repay_progress_max,304.2996997833252,15
stg_pln_sum_rep_prc_12m_his_d0_mrn_zd_rto,302.66629934310913,27
12m_used_lmt_second_der_max,298.4484667778015,25
tot_pending_repay_tot_fee_stddev,295.4777069091797,23
3m_used_lmt_first_der_small_0_sum,294.2689790725708,21
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,292.62939262390137,8
min_ddf_lag_crt_tim_mnt,285.20836114883423,29
d30_d90_suc_ord_cnt_rat,281.23315143585205,10
rsk_lmt_rate_ch_1m_grt_0p95_rate_3m,277.68660020828247,21
6ord_apply_amt_second_der_mean_rto,273.0827193260193,25
d180_avl_lmt_shift1_rise_month_cnt,272.43559551239014,10
18m_used_lmt_second_der_min,265.2723169326782,22
18m_used_lmt_second_der_sum,262.02650928497314,25
d180_apl_ord_prc_amt_sum_all,260.6855716705322,14
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,260.2847318649292,19
cnt_event_type_limit_type_heavy_all,259.6034119129181,31
max_ddf_lag_crt_dte,259.0171298980713,24
sum_talk_duration_180d,258.16076946258545,20
succloan_stage_num_mean_all,257.92843890190125,26
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,256.94870710372925,14
lst_app_str_hr,256.78989028930664,23
stg_pln_min_rep_prc_his,253.38793992996216,27
his_7d_app_str_ctn_v2,250.82449913024902,14
d360_apl_ord_stg_num_sum_all,250.60166931152344,9
3m_repay_ftr_amt_second_der_mean_rto,249.00853615999222,26
credit_unique_scene_cnt_12m,248.88993167877197,10
ord_apl_suc_sum_prc_amt_360_day_bjq_12m,246.0235424041748,8
last_day_diff_event_result_0_event_type_loan_all,244.76019096374512,22
3m_repay_amt_first_der_max,242.6860227584839,10
18m_used_lmt_first_der_sum,240.52851963043213,23
15d_range_sum_prc_amt_1m,238.84243822097778,15
d180_apl_ord_prc_amt_avg,238.67203617095947,11
ddf_mdl_max_con_dau_dt_90d,236.73003244400024,19
ord_apl_max_prc_amt_360_day_bjq_12m,235.68981075286865,13
d60_apl_ord_prc_amt_max,235.15370178222656,12
stg_pln_pay_off_sum_prc_amt_14d,234.95311212539673,14
m1_manual_deduct_rep_apl_cnt_rat,233.27886867523193,7
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,232.8948211669922,16
d90_apl_ord_dis_bsy_typ_cnt_all,232.35179901123047,2
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,231.56475830078125,16
6m_repay_amt_second_der_median,231.44086027145386,19
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,229.46596121788025,16
d720_repaid_interest_fee_sum,229.2150206565857,16
stg_pln_sum_rep_prc_his_fst_ord,229.14418029785156,19
18m_repay_amt_first_der_mean_diff,228.9813997745514,25
d180_repaid_gurantee_fee_sum_divide_d180_principal_sum,228.766348361969,21
d90_apl_ord_prc_amt_per_stg_max,226.02374124526978,11
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,225.33762884140015,22
d1095_avl_lmt_eql_0_month_cnt,223.96619987487793,16
3m_used_lmt_second_der_sum,217.14296913146973,16
18m_repay_amt_first_der_median,216.44308710098267,19
pge_id_cnt_7d,215.1702480316162,8
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,214.98921012878418,18
abf_1y_inter_1m_count_up,213.0331587791443,11
d90_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,210.57714986801147,12
d720_repaid_tot_fee_stddev,208.83049964904785,19
stg_pln_avg_prc_amt_his_ftr_light,207.2417483329773,18
ddf_bjq_12m_rep_dte_neg_5_crt_dt_max_prc_amt,204.43139839172363,3
18m_used_lmt_first_der_mean_rto,204.37025260925293,16
d1080_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,202.6892604827881,16
6m_used_lmt_first_der_small_0_sum,201.99574947357178,16
6m_used_lmt_first_der_median,201.56394004821777,20
succloan_day_diff_reud_stage_num_sum_all,201.53990030288696,17
ai_call_cnt_60d,199.81889820098877,13
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,199.44638013839722,18
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_rto_v2,198.35996055603027,18
his_360_day_prc_amt_3_000_flg_suc_ord_cnt_bjq_12m,198.18789863586426,4
cnt_other_info_auto_deduct_uid_recent_days_540,196.37165927886963,17
d15_d360_suc_ord_cnt_rat,196.0733094215393,12
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_min,195.97525906562805,14
max_rsk_lmt_rate_bt_ch_3m,193.5606508255005,18
12m_used_lmt_second_der_small_0_sum,193.4679718017578,15
stg_pln_cnt_his_ftr_light,192.74283123016357,10
stg_pln_avg_prc_amt_3m_6m_ftr_rto_all,192.35474157333374,16
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,192.32826566696167,8
m1_manual_rep_apl_suc_amt_sum,192.25963973999023,11
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_sum,191.29544067382812,14
stg_pln_pay_off_cnt_bjq_12m,190.98590755462646,7
min_rsk_lmt_rate_bt_ch_3m,188.8029112815857,15
ai_call_cnt_21d,187.18227863311768,14
d90_d180_suc_ord_prc_amt_avg_rat,185.31486701965332,16
stg_pln_max_prc_amt_12m_ftr,184.33641147613525,12
avg_ddf_rep_dte_ord_crt_tim_7,183.9790337085724,18
6stg_pln_repay_amt_first_der_mean_rto,182.8296298980713,18
3m_used_lmt_first_der_max,182.69133758544922,11
18m_used_lmt_second_der_mean_rto,181.8686397075653,18
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt,180.89818567037582,14
3stg_pln_repay_amt_second_der_mean_rto,179.63927745819092,19
m1_manual_deduct_rep_apl_stg_pln_cnt_sum,178.092999458313,7
m1_rep_apl_stg_pln_cnt_mor_1_cnt,178.02841186523438,12
3stg_pln_repay_amt_first_der_mean_rto,177.4241600036621,16
m1_stg_pln_manual_deduct_rep_apl_cnt_equal_1_cnt_rat,175.99215078353882,13
d30_apl_ord_prc_amt_max_all,175.0759391784668,14
ord_apl_sum_prc_amt_360_day_bjq_12m,174.47793292999268,5
credit_unique_scene_cnt_36m,174.31721782684326,11
ddf_36m_rep_dte_5_crt_dt_rep_prc_amt_rto,173.3970513343811,16
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,171.74830961227417,13
d7_d15_apl_ord_prc_amt_avg_rat,171.68515348434448,9
stg_pln_max_prc_amt_12m_ftr_his_rep_rto_cash,170.49848079681396,15
ddf_fst_lst_ord_crt_dte,169.7341923713684,12
6m_used_lmt_first_der_max,169.6964201927185,16
24stg_pln_repay_amt_second_der_avg,169.67672109603882,18
stg_pln_max_prc_amt_6m_12m_ftr_cash,169.45396661758423,9
d360_light_limit_divide_btch_adt_limit,169.32855200767517,9
max_ddf_mdl_rep_dte_his_bjq,169.2375512123108,17
min_ddf_mdl_rep_tim_adv_bjq_12m,169.17572021484375,15
d30_d180_his_rep_amt_sum_rat_all,168.9994511604309,13
stg_pln_sum_rep_prc_his_d0_non_zd_v2,168.63789796829224,17
d90_apl_ord_prc_amt_avg,168.14044284820557,13
max_ddf_rep_tim_dte_adv,167.99331951141357,11
6m_repay_amt_second_der_mean_diff,167.3353500366211,14
d360_apl_ord_prc_amt_min,167.25432777404785,11
avg_avl_lmt_lft_rep_prc_all_cash_36m,166.37221145629883,13
3m_repay_ftr_amt_first_der_mean_diff,166.21551942825317,14
12m_used_lmt_first_der_mean_diff,166.07648086547852,16
6m_used_lmt_second_der_mean_diff,166.06759023666382,15
6stg_pln_repay_amt_second_der_sum,165.51684951782227,16
stg_pln_sum_rep_prc_his_d0_afn_zd_v2,163.57016849517822,17
6stg_pln_repay_amt_first_der_median,163.2036690711975,14
6m_used_lmt_second_der_sum,162.7862687110901,17
rsi_af_1y_inter_1m,162.34549045562744,14
d1080_max_adv_repay_amt_divide_d1080_max_faqi_prc_amt,161.6752200126648,15
avg_ddf_rep_dte_ord_crt_tim_neg_1,161.6077606678009,14
d180_apl_ord_stg_num_avg,160.88869094848633,6
18m_repay_amt_second_der_mean_diff,158.56445932388306,17
min_avl_lmt_lft_rep_prc_2m_cash_3m,157.81354141235352,10
rsk_avl_lmt_ch_1m_les_500_cnt_12m,157.69624710083008,10
last_amt_channel_hb_microcredit_lv1_all,157.48860931396484,16
36stg_pln_repay_amt_second_der_mean_diff,157.27704906463623,15
18m_repay_ftr_amt_first_der_mean_diff,156.54915046691895,11
12m_used_lmt_first_der_avg,154.91234946250916,15
