month,psi,n_samples,score_column
2025-06,0.0,60987,model_score
2025-07,0.00474809119076758,60999,model_score
2025-08,0.009359448675852571,61035,model_score
2025-09,0.02115264282653782,61200,model_score
2025-10,0.029947013141003304,61423,model_score
2025-11,0.037674676198029874,61575,model_score
2025-12,0.039564171313843564,61187,model_score
2026-01,0.052306009187338215,61337,model_score
2025-06,0.0,60964,gcard_v2
2025-07,0.0035889416108042826,60969,gcard_v2
2025-08,0.008489848300576265,61021,gcard_v2
2025-09,0.02004299452445905,61169,gcard_v2
2025-10,0.03119802043507646,61404,gcard_v2
2025-11,0.04116713203463287,61558,gcard_v2
2025-12,0.04196561698551208,61166,gcard_v2
2026-01,0.058368623095096675,61327,gcard_v2
2025-06,0.0,60987,gcard_v4
2025-07,0.003488754849836625,60997,gcard_v4
2025-08,0.0064623209992567595,61034,gcard_v4
2025-09,0.016850238629448365,61199,gcard_v4
2025-10,0.025473936604237874,61421,gcard_v4
2025-11,0.03280037449003204,61574,gcard_v4
2025-12,0.032096955955375484,61185,gcard_v4
2026-01,0.04476764092845878,61337,gcard_v4
2025-06,0.0,60987,gcard_v5
2025-07,0.007856132856399897,60999,gcard_v5
2025-08,0.01349803523901317,61035,gcard_v5
2025-09,0.02832960439307212,61200,gcard_v5
2025-10,0.03777085400512985,61423,gcard_v5
2025-11,0.054329434306393,61575,gcard_v5
2025-12,0.06315678725586327,61187,gcard_v5
2026-01,0.07954042798067905,61337,gcard_v5
2025-06,0.0,60987,gcard_v6
2025-07,0.003961728910739512,60999,gcard_v6
2025-08,0.008781353907189713,61035,gcard_v6
2025-09,0.020534176552336286,61200,gcard_v6
2025-10,0.030930387690127667,61423,gcard_v6
2025-11,0.03749462977873158,61575,gcard_v6
2025-12,0.03795385926719805,61187,gcard_v6
2026-01,0.05134864093803249,61337,gcard_v6
