score_column,score_band,n_samples,bad,bad_rate,blue_customer_flag,zc_level,prc_amt_xz_30d_3m_sum,ovd_amt_xz_30d_3m_sum
model_score,1,6,0,0.0,B2,1,0.0,0.0
model_score,1,82,0,0.0,B2,2,0.0,0.0
model_score,1,527,2,0.003795066413662239,B2,3,26974.19,0.0
model_score,1,1529,0,0.0,B2,4,0.0,0.0
model_score,1,3607,5,0.0013861935126143609,B2,5,16232.060000000001,0.0
model_score,1,42232,72,0.0017048683462777042,B2,6,59429.76,0.0
model_score,1,49940,103,0.0020624749699639567,B2,7,189133.13,0.0
model_score,1,6,0,0.0,E3,4,0.0,0.0
model_score,1,2,0,0.0,E3,5,0.0,0.0
model_score,1,17,0,0.0,E3,6,0.0,0.0
model_score,1,1,0,0.0,E3,7,0.0,0.0
model_score,2,162,0,0.0,B2,1,0.0,0.0
model_score,2,829,3,0.0036188178528347406,B2,2,1882.01,0.0
model_score,2,3074,10,0.0032530904359141183,B2,3,15178.580000000002,0.0
model_score,2,4005,12,0.00299625468164794,B2,4,4569.87,0.0
model_score,2,12625,43,0.003405940594059406,B2,5,96279.28,823.37
model_score,2,56193,266,0.004733685690388482,B2,6,379340.49,28750.83
model_score,2,21004,136,0.006474957151018854,B2,7,45318.850000000006,610.34
model_score,2,1,0,0.0,E3,2,0.0,0.0
model_score,2,8,0,0.0,E3,3,0.0,0.0
model_score,2,16,0,0.0,E3,4,0.0,0.0
model_score,2,5,0,0.0,E3,5,0.0,0.0
model_score,2,24,1,0.041666666666666664,E3,6,0.0,0.0
model_score,2,2,0,0.0,E3,7,0.0,0.0
model_score,3,1704,25,0.014671361502347418,B2,1,330457.55,0.0
model_score,3,6685,119,0.01780104712041885,B2,2,541260.08,1717.77
model_score,3,13314,233,0.017500375544539582,B2,3,725191.38,12910.310000000001
model_score,3,10375,170,0.0163855421686747,B2,4,425642.27999999997,15057.04
model_score,3,24071,401,0.01665905030950106,B2,5,643954.29,39304.8
model_score,3,35566,683,0.019203733903165945,B2,6,699084.2500000001,11087.630000000001
model_score,3,3721,106,0.02848696586938995,B2,7,29429.75,0.0
model_score,3,29,1,0.034482758620689655,E2,3,0.0,0.0
model_score,3,18,0,0.0,E2,4,0.0,0.0
model_score,3,8,0,0.0,E2,5,0.0,0.0
model_score,3,29,0,0.0,E2,6,0.0,0.0
model_score,3,2,0,0.0,E2,7,0.0,0.0
model_score,3,15,1,0.06666666666666667,E3,1,7324.21,0.0
model_score,3,185,9,0.04864864864864865,E3,2,85832.66,0.0
model_score,3,601,30,0.04991680532445923,E3,3,102490.13,0.0
model_score,3,846,25,0.02955082742316785,E3,4,39146.57000000001,4128.72
model_score,3,136,4,0.029411764705882353,E3,5,0.0,0.0
model_score,3,541,20,0.036968576709796676,E3,6,2852.45,0.0
model_score,3,103,5,0.04854368932038835,E3,7,0.0,0.0
model_score,4,3140,302,0.09617834394904459,B2,1,2285831.96,63157.21000000001
model_score,4,5411,548,0.1012751801885049,B2,2,1628279.3800000001,99318.46000000002
model_score,4,5615,577,0.10276046304541407,B2,3,1015110.52,35641.51
model_score,4,2881,289,0.1003123915307185,B2,4,307032.36,0.0
model_score,4,5584,668,0.11962750716332378,B2,5,651217.34,30800.65
model_score,4,7717,966,0.12517817804846443,B2,6,440590.73,1234.43
model_score,4,1885,200,0.10610079575596817,B2,7,53244.79,0.0
model_score,4,82,8,0.0975609756097561,E2,1,31250.43,0.0
model_score,4,293,48,0.16382252559726962,E2,2,211232.99,0.0
model_score,4,2436,395,0.1621510673234811,E2,3,744849.4299999999,13567.29
model_score,4,2610,455,0.1743295019157088,E2,4,425253.25,3518.5299999999997
model_score,4,987,163,0.1651469098277609,E2,5,112261.09000000001,7307.370000000001
model_score,4,4977,842,0.1691782198111312,E2,6,415531.78,6157.720000000001
model_score,4,260,54,0.2076923076923077,E2,7,6481.26,0.0
model_score,4,2157,351,0.1627260083449235,E3,1,2134140.0300000003,26729.539999999997
model_score,4,9604,1460,0.15201999167013744,E3,2,6569006.09,53650.05
model_score,4,14642,2223,0.1518235213768611,E3,3,5051133.67,159778.31
model_score,4,16093,2618,0.16267942583732056,E3,4,3929576.5100000007,103976.70000000001
model_score,4,2154,391,0.18152274837511606,E3,5,484704.98000000004,11940.19
model_score,4,7863,1411,0.17944804781889864,E3,6,1183193.5100000002,34925.56
model_score,4,1557,252,0.16184971098265896,E3,7,114943.08,1422.79
model_score,5,199,107,0.5376884422110553,B2,1,204584.62000000002,2000.0
model_score,5,372,174,0.46774193548387094,B2,2,74633.30000000002,0.0
model_score,5,494,247,0.5,B2,3,74675.13,0.0
model_score,5,260,132,0.5076923076923077,B2,4,25085.41,492.3
model_score,5,597,289,0.48408710217755446,B2,5,46090.57,539.14
model_score,5,1294,690,0.5332302936630603,B2,6,144290.41,25980.610000000004
model_score,5,505,259,0.5128712871287129,B2,7,61138.33,12237.130000000001
model_score,5,88,51,0.5795454545454546,E2,1,463147.24,14099.630000000001
model_score,5,315,168,0.5333333333333333,E2,2,1028303.18,53747.530000000006
