model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v4,1,18365,22,0.001197930846719303
1,gcard_v4,2,6760,15,0.0022189349112426036
1,gcard_v4,3,11651,10,0.0008582954252853832
1,gcard_v4,4,4378,1,0.00022841480127912289
1,gcard_v4,5,6922,12,0.0017336030049118752
1,gcard_v4,6,898,1,0.0011135857461024498
2,gcard_v4,1,14252,51,0.003578445130507999
2,gcard_v4,2,5603,12,0.0021417097983223274
2,gcard_v4,3,9303,21,0.002257336343115124
2,gcard_v4,4,7561,12,0.0015870916545430499
2,gcard_v4,5,9409,15,0.0015942183016261027
2,gcard_v4,6,2828,10,0.003536067892503536
2,gcard_v4,7,17,0,0.0
3,gcard_v4,1,12073,32,0.002650542532924708
3,gcard_v4,2,4818,27,0.00560398505603985
3,gcard_v4,3,9156,34,0.003713411970292704
3,gcard_v4,4,9463,37,0.003909965127338054
3,gcard_v4,5,8594,35,0.004072608796835001
3,gcard_v4,6,4824,15,0.003109452736318408
3,gcard_v4,7,45,0,0.0
4,gcard_v4,1,10045,49,0.004878048780487805
4,gcard_v4,2,3582,23,0.0064209938581797875
4,gcard_v4,3,9093,45,0.0049488617617947876
4,gcard_v4,4,10746,69,0.0064209938581797875
4,gcard_v4,5,8273,52,0.006285507071195455
4,gcard_v4,6,6598,46,0.006971809639284632
4,gcard_v4,7,637,7,0.01098901098901099
5,gcard_v4,1,6182,54,0.008735037204788094
5,gcard_v4,2,5881,64,0.010882502975684407
5,gcard_v4,3,7236,84,0.011608623548922056
5,gcard_v4,4,9645,86,0.008916537065837222
5,gcard_v4,5,8268,93,0.011248185776487663
5,gcard_v4,6,6934,73,0.010527833862128641
5,gcard_v4,7,4798,39,0.008128386827844935
5,gcard_v4,8,29,1,0.034482758620689655
6,gcard_v4,1,3523,90,0.02554640931024695
6,gcard_v4,2,5543,126,0.022731372902760238
6,gcard_v4,3,2170,65,0.029953917050691243
6,gcard_v4,4,6260,163,0.026038338658146965
6,gcard_v4,5,5927,174,0.0293571790113042
6,gcard_v4,6,13052,364,0.027888446215139442
6,gcard_v4,7,11688,345,0.029517453798767967
6,gcard_v4,8,792,11,0.013888888888888888
6,gcard_v4,9,18,0,0.0
7,gcard_v4,1,908,52,0.05726872246696035
7,gcard_v4,2,473,33,0.06976744186046512
7,gcard_v4,3,260,19,0.07307692307692308
7,gcard_v4,4,1007,72,0.07149950347567031
7,gcard_v4,5,1442,119,0.0825242718446602
7,gcard_v4,6,11777,925,0.07854292264583511
7,gcard_v4,7,21355,1735,0.08124560992741747
7,gcard_v4,8,11044,1027,0.09299166968489678
7,gcard_v4,9,690,49,0.07101449275362319
7,gcard_v4,10,18,0,0.0
8,gcard_v4,1,34,4,0.11764705882352941
8,gcard_v4,2,19,3,0.15789473684210525
8,gcard_v4,3,4,1,0.25
8,gcard_v4,4,34,6,0.17647058823529413
8,gcard_v4,5,64,18,0.28125
8,gcard_v4,6,1897,422,0.2224565102793885
8,gcard_v4,7,8600,1752,0.20372093023255813
8,gcard_v4,8,29957,6193,0.20672964582568348
8,gcard_v4,9,8234,1766,0.21447656060238038
8,gcard_v4,10,130,26,0.2
9,gcard_v4,6,104,42,0.40384615384615385
9,gcard_v4,7,1769,752,0.42509892594686266
9,gcard_v4,8,6744,2745,0.4070284697508897
9,gcard_v4,9,34249,15001,0.43799818972816723
9,gcard_v4,10,6107,2881,0.4717537252333388
10,gcard_v4,6,1,1,1.0
10,gcard_v4,7,65,51,0.7846153846153846
10,gcard_v4,8,407,265,0.6511056511056511
10,gcard_v4,9,5782,3998,0.6914562435143549
10,gcard_v4,10,42719,34316,0.8032959573023714
