month,bin,base_prop,current_prop,psi_component,score_column
2025-06,0,0.09520061652483316,0.09520061652483316,0.0,model_score
2025-06,1,0.08464098906324298,0.08464098906324298,0.0,model_score
2025-06,2,0.08029580074442094,0.08029580074442094,0.0,model_score
2025-06,3,0.0835259973436962,0.0835259973436962,0.0,model_score
2025-06,4,0.09595487562923245,0.09595487562923245,0.0,model_score
2025-06,5,0.10302195549871285,0.10302195549871285,0.0,model_score
2025-06,6,0.11054814960565366,0.11054814960565366,0.0,model_score
2025-06,7,0.11420466656828504,0.11420466656828504,0.0,model_score
2025-06,8,0.11589355108465739,0.11589355108465739,0.0,model_score
2025-06,9,0.11671339793726532,0.11671339793726532,0.0,model_score
2025-07,0,0.09520061652483316,0.0987557173068411,0.00013034023666988188,model_score
2025-07,1,0.08464098906324298,0.0955917310119838,0.0013323512226026783,model_score
2025-07,2,0.08029580074442094,0.08929654584501386,0.0009562884976140265,model_score
2025-07,3,0.0835259973436962,0.08926375842226922,0.0003812032808168829,model_score
2025-07,4,0.09595487562923245,0.09385399760651814,4.650856026265287e-05,model_score
2025-07,5,0.10302195549871285,0.10195249102444302,1.1160070513947147e-05,model_score
2025-07,6,0.11054814960565366,0.10331316906834538,0.0004897091878375171,model_score
2025-07,7,0.11420466656828504,0.10654273020869194,0.000532091078195788,model_score
2025-07,8,0.11589355108465739,0.10618206855850096,0.0008499184370121592,model_score
2025-07,9,0.11671339793726532,0.11524779094739258,1.8520619242046186e-05,model_score
2025-08,0,0.09520061652483316,0.10097485049561727,0.00034001613024551756,model_score
2025-08,1,0.08464098906324298,0.09917260588187106,0.002302435461096968,model_score
2025-08,2,0.08029580074442094,0.0924059965593512,0.0017011742962683445,model_score
2025-08,3,0.0835259973436962,0.09098058491029737,0.0006372792884947777,model_score
2025-08,4,0.09595487562923245,0.09858278037191776,7.100222722082512e-05,model_score
2025-08,5,0.10302195549871285,0.09714098468092078,0.0003456761251756726,model_score
2025-08,6,0.11054814960565366,0.09909068567215532,0.001253626678666033,model_score
