model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v5,1,18842,4,0.00021229168878038424
1,gcard_v5,2,10691,7,0.000654756337105977
1,gcard_v5,3,7831,7,0.0008938832843825821
1,gcard_v5,4,5459,4,0.0007327349331379373
1,gcard_v5,5,3569,13,0.0036424768842813113
1,gcard_v5,6,1699,12,0.007062978222483814
1,gcard_v5,7,842,13,0.015439429928741092
1,gcard_v5,8,42,1,0.023809523809523808
2,gcard_v5,1,14344,13,0.0009063022866703848
2,gcard_v5,2,11945,8,0.0006697362913352867
2,gcard_v5,3,8185,20,0.002443494196701283
2,gcard_v5,4,6676,14,0.002097064110245656
2,gcard_v5,5,4359,23,0.005276439550355586
2,gcard_v5,6,2107,17,0.008068343616516375
2,gcard_v5,7,1251,23,0.01838529176658673
2,gcard_v5,8,107,3,0.028037383177570093
3,gcard_v5,1,10250,4,0.0003902439024390244
3,gcard_v5,2,12033,21,0.0017452006980802793
3,gcard_v5,3,9141,22,0.0024067388688327317
3,gcard_v5,4,7778,31,0.003985600411416817
3,gcard_v5,5,5466,34,0.0062202707647274055
3,gcard_v5,6,2564,31,0.012090483619344774
3,gcard_v5,7,1586,35,0.022068095838587643
3,gcard_v5,8,156,2,0.01282051282051282
4,gcard_v5,1,3992,8,0.002004008016032064
4,gcard_v5,2,8859,21,0.0023704707077548256
4,gcard_v5,3,11845,33,0.0027859856479527227
4,gcard_v5,4,10557,46,0.004357298474945534
4,gcard_v5,5,7872,61,0.007748983739837398
4,gcard_v5,6,3475,54,0.01553956834532374
4,gcard_v5,7,2067,60,0.02902757619738752
4,gcard_v5,8,307,8,0.026058631921824105
5,gcard_v5,1,1876,10,0.005330490405117271
5,gcard_v5,2,4578,30,0.00655307994757536
5,gcard_v5,3,9147,42,0.0045916693998032145
5,gcard_v5,4,11108,76,0.0068419157364061935
5,gcard_v5,5,11739,119,0.010137149672033392
5,gcard_v5,6,6491,111,0.017100600831921123
5,gcard_v5,7,3283,85,0.025890953396283885
5,gcard_v5,8,753,21,0.027888446215139442
6,gcard_v5,1,160,3,0.01875
6,gcard_v5,2,535,7,0.013084112149532711
6,gcard_v5,3,2646,35,0.013227513227513227
6,gcard_v5,4,7319,146,0.019948080338844106
6,gcard_v5,5,12706,270,0.02124980324256257
6,gcard_v5,6,15950,435,0.02727272727272727
6,gcard_v5,7,7333,313,0.042683758352652396
6,gcard_v5,8,2274,127,0.055848724714160074
6,gcard_v5,9,51,2,0.0392156862745098
7,gcard_v5,1,1,0,0.0
7,gcard_v5,2,3,1,0.3333333333333333
7,gcard_v5,3,19,1,0.05263157894736842
7,gcard_v5,4,77,3,0.03896103896103896
7,gcard_v5,5,3197,184,0.05755395683453238
7,gcard_v5,6,14464,956,0.06609513274336283
7,gcard_v5,7,19245,1523,0.07913743829566121
7,gcard_v5,8,10518,1202,0.11428028142232363
7,gcard_v5,9,1416,160,0.11299435028248588
7,gcard_v5,10,34,1,0.029411764705882353
8,gcard_v5,5,67,13,0.19402985074626866
8,gcard_v5,6,2177,359,0.1649058337161231
8,gcard_v5,7,11673,2075,0.1777606442217082
8,gcard_v5,8,22874,4738,0.20713473813062866
8,gcard_v5,9,11521,2845,0.24694036975956948
8,gcard_v5,10,662,160,0.24169184290030213
9,gcard_v5,6,47,14,0.2978723404255319
9,gcard_v5,7,1615,595,0.3684210526315789
9,gcard_v5,8,10621,4183,0.3938423877224367
9,gcard_v5,9,26114,11438,0.4380026039672206
9,gcard_v5,10,10577,5192,0.49087642998960007
10,gcard_v5,7,79,54,0.6835443037974683
10,gcard_v5,8,1322,892,0.6747352496217852
10,gcard_v5,9,9872,7185,0.7278160453808752
10,gcard_v5,10,37702,30500,0.8089756511590896
