mdl_month,n_samples,positive,bad_rate,final_flag,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
2025-06,30496,5012,0.164349,DEV,0.9446122822726634,0.7382460716161607,0.9258359960589586,0.7001369365906416,0.923089513749641,0.6997870939285817,0.920701601668474,0.6897363765355864,0.9344269797064035,0.7204668926424016
2025-07,30476,4825,0.158321,DEV,0.9451385931080063,0.7464003928378596,0.9278730788125961,0.7118615329113721,0.9248935995717562,0.7028556999868698,0.923411229611992,0.7058592267711488,0.9352934154209868,0.7296503100708331
2025-08,30630,5067,0.165426,DEV,0.945532408464131,0.7457521158733272,0.9292314581798128,0.7129931778893168,0.9260916047461378,0.7082991678669309,0.9261748340341756,0.7100669593345196,0.9371693801360097,0.7282633576174786
2025-09,30555,4649,0.152152,DEV,0.9481731252774377,0.7606427971790793,0.9337856521785929,0.7278479076385599,0.926847783292769,0.7185932898674354,0.9308386923041272,0.7221127255965887,0.940439886767682,0.7431132663440604
2025-10,30760,4377,0.142295,DEV,0.9423056041714333,0.7484163076016533,0.9269904718575329,0.7113978768577495,0.9200404473685309,0.7057454329075284,0.9263326590686565,0.7082965937757134,0.9345480445774483,0.7283391400907205
2025-11,30822,4218,0.13685,DEV,0.9467289337268326,0.7599757188995847,0.9315450057528161,0.7278858623426895,0.9276602425015998,0.7214708298498627,0.9304575523105185,0.7260863883611551,0.938411971547076,0.7416998224633008
2025-06,30491,5766,0.189105,DEV-OOS,0.9271813184712727,0.7036512143463636,0.9196512026521376,0.6875275960046041,0.9164582344744672,0.6835104849143562,0.9151658952606314,0.681064326390153,0.9290172402848259,0.7076432852953772
2025-07,30523,5615,0.18396,DEV-OOS,0.9306962355216082,0.7133759697843005,0.9226714348116019,0.6949217022797981,0.9184346677923264,0.6873012164468206,0.9204119172803468,0.6956249112495336,0.9306253924504508,0.7161661128446897
2025-08,30405,5673,0.186581,DEV-OOS,0.938377927155593,0.7290751889338852,0.9313337806455827,0.7182979859538702,0.92845199789538,0.7112993415354039,0.9278427157602974,0.7186855892630661,0.9394947362965255,0.7333726591899643
2025-09,30645,5216,0.170207,DEV-OOS,0.933318672590615,0.7205266899151661,0.9281634628864871,0.7084326177363156,0.9215071859226954,0.6998355911937653,0.9254509073682119,0.7026285836879637,0.9341856623771662,0.7200835729435042
2025-10,30663,4887,0.159378,DEV-OOS,0.9315636424789313,0.7196463396789796,0.9253286330835205,0.7064479903519817,0.920750525404699,0.6909513849070467,0.9243846371827001,0.7015916557781277,0.9330887444831718,0.7254893555242331
2025-11,30753,4670,0.151855,DEV-OOS,0.9325411195573083,0.7225879893711075,0.9275034083008238,0.7113634045176231,0.9217868673777496,0.6981881553926367,0.9249680787596113,0.706410182417995,0.9339367794836464,0.7209394060026298
2025-12,30581,4092,0.133809,OOT,0.9353836615335304,0.7289806514052366,0.9290143964971482,0.7149180625387366,0.9242514703720205,0.7121536877725925,0.9282858684548858,0.7198374308124064,0.9370134994341147,0.7340192430159781
2026-01,30592,3803,0.124314,OOT,0.9329294256759618,0.7366634927246278,0.9278903684995576,0.7219041162133195,0.9217866256403077,0.7083473111670289,0.9267328328243958,0.711033332457454,0.9344418438865556,0.7347213472290006
2025-12,30606,4576,0.149513,OOT-OOS,0.9315073012849616,0.7171610252022277,0.922002807203012,0.6979461740644889,0.9177893456048352,0.6891985912297391,0.9215162280813693,0.6945050459528945,0.9309182695665841,0.712940488247826
2026-01,30745,4313,0.140283,OOT-OOS,0.9285795425199673,0.7202621329933885,0.9209444662472657,0.7049555939060389,0.9171103622263117,0.6887910037731527,0.9197063082204316,0.6919609787320163,0.9288265223416565,0.7194318962352121
