feature,gain,split
d15_suc_ord_prc_amt_avg_all,703.7289638519287,34
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,694.9699512720108,60
min_rsk_lmt_rate_bt_ch_3m,694.9543409347534,50
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,690.5738763809204,41
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,683.1717529296875,32
fst_fal_ord_prc_amt,682.562269449234,60
d60_apl_ord_prc_amt_sum,681.9203310012817,19
d90_aplord_suc_month_cnt,678.6513059139252,13
stg_pln_sum_rep_prc_his_fst_ord,678.2535593509674,55
12m_used_lmt_second_der_max,675.2682476043701,48
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,665.6461989879608,41
3m_repay_ftr_amt_second_der_mean_rto,662.9186906814575,59
af_q2_q1_trend,662.0369482040405,42
min_amt_event_type_credit_event_result_1,660.8177397251129,53
stg_pln_avg_prc_amt_3m_6m_ftr_rto_all,660.1014699935913,53
18m_repay_amt_first_der_mean_diff,656.4023698568344,55
6m_used_lmt_second_der_sum,653.7070982456207,53
18m_repay_amt_second_der_median,653.4627103805542,60
af_1m_trend,650.7209135890007,57
last_day_diff_event_result_0_event_type_loan_all,647.980001449585,58
3m_used_lmt_first_der_small_0_sum,646.9995682239532,46
18m_used_lmt_first_der_sum,645.869469165802,54
min_ddf_rep_tim_dte_adv,645.8378052711487,44
d60_apl_ord_prc_amt_avg,644.7268462181091,33
18m_used_lmt_second_der_sum,641.1949338912964,66
min_avl_lmt_lft_rep_prc_2m_cash_3m,640.0663967132568,36
stg_pln_sum_rep_prc_12m_his_d0_mrn_zd_rto,640.0182197093964,56
3m_used_lmt_first_der_sum,637.810426235199,44
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,636.72434258461,20
6m_used_lmt_first_der_median,636.2907567024231,51
d360_apl_ord_stg_num_sum_all,636.2206945419312,37
n_unique_other_info_event_type_credit,636.1558022499084,33
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,631.7557592391968,46
3m_used_lmt_second_der_sum,630.9234963133931,50
ord_apl_fal_cnt_360_day,630.1935353279114,20
cnt_event_type_limit_type_heavy_all,629.5128011703491,66
d1095_aplord_fal_month_cnt,627.887588083744,38
m6_stg_pln_rep_apl_cnt_his_ovd_avg,625.5930180549622,41
12m_used_lmt_first_der_mean_diff,625.4588596820831,52
last_amt_channel_hb_microcredit_lv1_all,625.3918595314026,59
succloan_stage_num_mean_all,621.4612972736359,52
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,620.738082408905,49
3stg_pln_repay_amt_first_der_mean_rto,618.9059519767761,60
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,618.5936207771301,45
credit_unique_fund_cnt_1m,616.6065979003906,25
m3_manual_rep_apl_suc_stg_pln_cnt_avg,613.9907529354095,50
12m_used_lmt_second_der_small_0_sum,612.5180611610413,51
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,603.3012276291847,55
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,599.8054022789001,37
stg_pln_sum_prc_amt_2m_ftr_his_rep_rto_all,599.6638184785843,40
6m_used_lmt_second_der_median,598.6862610578537,50
median_amt_event_result_1_all,598.1398983001709,55
stg_pln_sum_prc_amt_3m_6m_rto_ftr,597.0644617080688,33
credit_reject_cnt_12m,591.4851098060608,49
6stg_pln_repay_amt_first_der_mean_diff,589.3009605407715,52
d60_apl_ord_stg_num_sum_all,588.5229849815369,17
d30_apl_ord_ddf_mdl_ord_crt_dte_max,586.8662557601929,42
rsk_avl_lmt_ch_1m_les_500_cnt_3m,581.5008001327515,14
rsk_avl_lmt_ch_1m_les_500_cnt_12m,580.3937859535217,27
max_rsk_lmt_rate_bt_ch_3m,579.0083839893341,41
stg_pln_pay_off_cnt_bjq_12m,577.455680847168,25
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_sum,573.1910474300385,39
6m_used_lmt_first_der_mean_diff,571.8310904502869,45
18stg_pln_repay_amt_second_der_mean_rto,570.9070698022842,53
std_amt_channel_hb,563.299512386322,49
his_max_ovd_repay_amt_divide_his_max_suc_prc_amt,560.7165100574493,46
6m_repay_amt_second_der_mean_diff,552.7954182624817,49
3m_repay_amt_first_der_mean_rto,547.8927249908447,45
12m_used_lmt_first_der_min,544.1230714321136,44
ord_apl_sum_prc_amt_13_18,543.653902053833,46
6m_used_lmt_second_der_mean_diff,542.9991598129272,47
24stg_pln_repay_amt_second_der_mean_rto,541.9693965911865,46
18m_repay_amt_first_der_median,536.7562479972839,38
max_ddf_suc_lag_crt_dte,535.171106338501,45
avg_ddf_rep_dte_ord_crt_tim_7,533.9374802708626,49
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,533.6741316318512,35
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,528.0804491043091,33
3ord_apply_amt_first_der_mean_diff,525.8974018096924,49
pge_id_cnt_7d,523.6966281887144,26
d180_repaid_gurantee_fee_sum_divide_d180_principal_sum,523.6582012176514,40
rsk_avl_lmt_ch_1m_les_500_rate_3m,522.220685005188,35
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_rto_v2,520.2238867282867,45
18m_used_lmt_second_der_min,519.8802118301392,35
stg_pln_max_prc_amt_12m_ftr_his_rep_rto_cash,518.5600271224976,39
6m_repay_amt_first_der_max,514.518310546875,27
d30_d180_his_rep_amt_sum_rat_all,513.0519638061523,40
