feature,gain,split
cnt_ord_cnt_suc_30d_90d,3905.5274057388306,60
af_3m_inter_1m_sum_up,3888.220012664795,123
6m_used_lmt_first_der_min,3875.6269178390503,191
3stg_pln_repay_amt_first_der_mean_diff,3861.9849882125854,278
d1095_aplord_fal_month_cnt,3860.8450241088867,154
12m_used_lmt_second_der_sum,3826.646806716919,269
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,3826.4083375930786,174
rsk_avl_lmt_ch_1m_les_1000_rate_24m,3762.327974796295,225
d1080_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,3671.5888056755066,259
3m_repay_amt_first_der_median,3622.583513736725,188
6m_used_lmt_second_der_sum,3589.7730884552,257
cnt_event_type_limit_type_heavy_all,3569.5398597717285,252
min_ddf_mdl_rep_tim_his,3501.1947617530823,194
3m_used_lmt_second_der_sum,3423.8860263824463,205
min_ddf_suc_lag_crt_tim_mnt,3422.1493792533875,235
12m_used_lmt_second_der_mean_diff,3420.4239373207092,241
avg_avl_lmt_lft_rep_prc_all_cash_24m,3413.6523399353027,200
d30_d90_suc_ord_prc_amt_avg_rat_all,3409.885612487793,122
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,3403.5118341445923,173
6m_used_lmt_first_der_max,3381.914098739624,186
rsk_lmt_rate_ch_1m_grt_0p5_rate_24m,3378.0499863624573,192
12m_used_lmt_first_der_sum,3373.541609764099,212
m3_manual_rep_apl_suc_stg_pln_cnt_avg,3324.9422464370728,187
stg_pln_sum_prc_amt_1m_ftr_his_rep_rto_all,3300.1852860450745,187
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,3266.1191720962524,199
ddf_mdl_max_con_dau_dt_90d,3261.6911931037903,221
fst_fal_ord_prc_amt,3233.123038291931,231
3m_used_lmt_second_der_stddev,3216.500082015991,163
rsk_avl_lmt_ch_1m_les_1000_rate_6m,3205.9174704551697,177
18m_used_lmt_first_der_sum,3139.317300796509,236
d90_aplord_fal_month_cnt,3115.095034599304,50
median_amt_channel_hb_microcredit_lv1_all,3113.5525183677673,221
3m_used_lmt_first_der_mean_diff,3049.725697040558,210
12m_used_lmt_first_der_min,3025.8377656936646,204
m1_manual_rep_apl_stg_pln_cnt_avg,3017.6000814437866,142
pst_ord_apl_suc_sum_prc_amt_90_180_day_rto,3003.295811653137,72
max_avl_lmt_lft_rep_prc_1m_cash_36m,3003.0957403182983,205
6stg_pln_repay_amt_first_der_mean_diff,3000.123754501343,236
af_1y_inter_3m_sum_up,2998.170741558075,128
18m_used_lmt_second_der_sum,2981.1196660995483,214
ord_apl_cnt_07_12,2978.4784622192383,162
his_max_faqi_prc_amt_divide_unpaid_principal_tot,2955.408288002014,152
rsk_lmt_rate_ch_1m_grt_0p95_rate_3m,2940.8566160202026,136
stg_pln_min_prc_amt_his,2935.97274017334,184
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,2935.6969089508057,216
3m_used_lmt_first_der_sum,2935.6922731399536,180
rsk_avl_lmt_ch_les_1000_rate_12m,2933.636782646179,159
stg_pln_sum_rep_prc_1m_3m_rto_his,2929.6430864334106,164
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,2918.9126625061035,183
d30_d360_suc_ord_cnt_rat,2909.399726867676,60
d720_due_repay_amt_avg_divide_d720_faqi_trade_amt_avg,2901.414291381836,153
6m_used_lmt_second_der_median,2885.8837580680847,217
36stg_pln_repay_amt_second_der_mean_diff,2854.024179458618,213
stg_pln_sum_prc_amt_3m_6m_rto_ftr,2852.901861667633,189
12stg_pln_repay_amt_first_der_mean_diff,2839.9314255714417,212
12m_used_lmt_first_der_mean_diff,2787.222192764282,190
d90_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,2763.97252035141,176
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_rto_v2,2740.58598613739,197
bf_3m_inter_1m_sum_up,2705.791673183441,160
3m_used_lmt_first_der_small_0_sum,2688.980694770813,165
stddev_amt_event_type_repay_all,2686.588397026062,180
stg_pln_min_prc_amt_3m_6m_ftr_cash,2679.0498633384705,156
3stg_pln_repay_amt_second_der_mean_rto,2653.4607548713684,206
credit_unique_fund_cnt_3m,2652.8170127868652,120
m1_manual_rep_apl_suc_amt_avg,2650.8664889335632,129
3m_repay_ftr_amt_second_der_mean_rto,2637.083037376404,205
18m_repay_amt_second_der_mean_diff,2631.051152229309,198
max_ddf_rep_tim_dte_adv,2628.943648815155,170
12stg_pln_repay_amt_first_der_median,2611.300702571869,191
18m_repay_amt_first_der_avg,2610.1186995506287,181
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,2610.116949081421,171
stg_pln_max_prc_amt_6m_12m_ftr_cash,2609.759705543518,133
last_day_diff_event_result_0_event_type_loan_all,2598.375991821289,168
m6_normal_batch_rep_apl_suc_amt_avg,2595.535044670105,183
d30_d60_his_rep_amt_sum_rat_btch,2593.4251103401184,161
18ord_apply_amt_first_der_min,2591.571279525757,161
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,2583.7933073043823,181
d360_suc_ord_ddf_mdl_ord_crt_dte_max,2583.290048122406,171
stg_pln_min_prc_amt_6m_ftr_his_rep_rto_cash,2581.044638633728,137
6stg_pln_repay_amt_first_der_min,2577.803262233734,185
stg_pln_min_rep_prc_his,2573.3955941200256,187
6m_used_lmt_second_der_min,2570.264974594116,184
3m_repay_ftr_amt_first_der_stddev,2559.587724685669,149
avg_day_diff_shift1_event_type_repay_all,2552.6613268852234,189
mdt_lst_30d_90d_ord_cnt_typ_btch_rte,2548.3335094451904,33
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,2526.590023994446,168
day_diff_shift1_n_unique_all,2512.3524284362793,153
m1_rep_apl_suc_amt_avg,2510.2181611061096,98
3ord_apply_amt_first_der_mean_diff,2508.880804538727,190
12m_used_lmt_first_der_avg,2506.561716079712,179
rsi_abf_1y_inter_3m,2495.0034284591675,181
18m_repay_amt_first_der_median,2487.03835105896,159
6m_used_lmt_first_der_mean_diff,2476.2368450164795,171
6m_repay_amt_first_der_median,2471.360896587372,140
rsk_avl_lmt_ch_1m_les_10000_rate_24m,2470.62136554718,161
d360_due_repay_amt_avg_divide_d360_faqi_trade_amt_avg,2469.133343219757,145
stddev_day_diff_shift1_event_type_repay_all,2452.135455608368,183
3m_used_lmt_first_der_median,2451.1618609428406,160
min_rsk_lmt_rate_24m_bt_ch,2448.04004573822,139
stg_pln_sum_rep_prc_his_d0_mrn_pk,2440.771248817444,175
succloan_day_diff_reud_stage_num_sum_all,2439.486747741699,161
3m_used_lmt_second_der_mean_diff,2436.3125314712524,183
6ord_apply_amt_second_der_mean_rto,2434.8604140281677,187
lst_rep_prc,2434.0716581344604,173
cnt_event_type_loan_type_heavy_all,2433.453197002411,122
d365_aplord_fal_month_cnt,2419.3313302993774,89
30stg_pln_repay_amt_first_der_mean_rto,2412.9331951141357,181
max_rsk_avl_lmt_bjq_12m_all,2410.6050901412964,127
stg_pln_pay_off_max_prc_amt_pday_12m,2408.9314756393433,154
stg_pln_avg_prc_amt_3m_6m_ftr_rto_all,2398.122582435608,168
6m_repay_amt_first_der_sum,2394.488392829895,162
his_max_due_prc_amt_divide_his_max_faqi_prc_amt,2392.8127427101135,156
stg_pln_pay_off_cnt_d0_rep_24m_rto,2391.8984804153442,167
mid_2_pmt_blc_not_eng_rat_1m,2390.1344060897827,150
stg_pln_sum_prc_amt_7d_ftr_cash,2387.9916048049927,159
avg_avl_lmt_lft_rep_prc_all_cash_12m,2380.826268196106,152
3ord_apply_amt_second_der_mean_diff,2375.4557704925537,187
m6_manual_rep_apl_suc_amt_avg,2371.0308265686035,152
avg_ddf_rep_dte_ord_crt_tim_7,2361.821303844452,178
d90_max_due_prc_amt_divide_rsk_adt_lmt_cash,2358.779990196228,163
12stg_pln_repay_amt_second_der_median,2357.7830119132996,187
pmt_crd_amt_3m,2335.0394129753113,170
12stg_pln_repay_amt_first_der_sum,2327.7035551071167,178
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,2306.8084511756897,164
3ord_apply_amt_first_der_mean_rto,2303.8112392425537,167
ai_call_cnt_21d,2302.524971961975,131
12m_repay_amt_second_der_median,2300.1289620399475,169
d360_due_repay_amt_sum_divide_d360_faqi_trade_amt_sum,2289.9097442626953,147
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,2273.443612575531,171
lag_his_rep_amt_sum_per_mth_all_rat_max,2253.8741278648376,161
m1_stg_pln_d0_rep_apl_cnt,2250.2601499557495,76
d360_repaid_interest_fee_max,2246.6242756843567,146
credit_reject_unique_fund_cnt_6m,2244.1372261047363,124
12m_used_lmt_second_der_mean_rto,2237.4849882125854,181
12m_used_lmt_second_der_small_0_sum,2226.3013796806335,146
min_rsk_lmt_rate_3m_bt_ch,2219.0523447990417,120
3stg_pln_repay_amt_first_der_mean_rto,2212.7609539031982,176
12m_used_lmt_first_der_mean_rto,2211.5856609344482,177
stg_pln_min_prc_amt_6m_ftr,2209.2883291244507,106
stg_pln_max_rep_prc_his,2209.15137386322,143
d720_max_due_prc_amt_divide_d720_max_faqi_prc_amt,2208.6415796279907,150
sum_day_diff_type_heavy_all,2208.4352078437805,152
stg_pln_sum_rep_prc_1m_his,2206.2040977478027,119
d360_repaid_exclude_principal_fee_max,2161.314386367798,132
stg_pln_sum_rep_prc_his_d0_afn_zd_rto_v2,2153.463505744934,156
ddf_24m_rep_dte_7_crt_dt_rep_prc_amt_rto,2152.992434978485,155
6m_repay_amt_second_der_mean_diff,2151.960612297058,167
af_6m_inter_1m_sum_up,2142.8806858062744,122
cnt_event_type_repay_event_result_1_all,2134.085515975952,131
6m_used_lmt_first_der_mean_rto,2128.8099880218506,163
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,2122.448729991913,144
stg_pln_min_prc_amt_12m_ftr_his_rto_cash,2121.168770313263,152
18stg_pln_repay_amt_second_der_mean_diff,2113.88028383255,165
d15_d360_apl_ord_prc_amt_avg_rat,2113.3894653320312,118
12m_repay_amt_second_der_avg,2112.7529006004333,163
d1080_max_ovd_repay_amt_divide_d1080_max_suc_prc_amt,2111.8014340400696,159
cnt_other_info_auto_deduct_uid_recent_days_540,2108.4084877967834,149
6m_repay_ftr_amt_first_der_mean_rto,2103.2892775535583,159
d15_d360_suc_ord_cnt_rat,2100.2551193237305,92
stg_pln_pay_off_cnt_d0_rep_6m_rto,2094.9302549362183,105
3m_used_lmt_first_der_max,2092.897713661194,130
rsk_lmt_rate_ch_1m_grt_0p95_rate_1m,2089.1715021133423,75
18stg_pln_repay_amt_first_der_mean_rto,2084.210404396057,166
6m_used_lmt_first_der_median,2082.4968667030334,157
ord_apl_cnt_720_day_19_23,2072.4717326164246,114
ddf_36m_rep_dte_neg_5_crt_dt_rep_prc_amt_rto,2071.16450881958,160
d360_max_due_prc_amt_divide_d360_max_faqi_prc_amt,2069.8386845588684,143
d90_d360_his_rep_amt_sum_rat_btch,2068.186400413513,104
stg_pln_sum_prc_amt_1m_2m_rto_ftr,2064.0810675621033,155
18m_repay_amt_second_der_mean_rto,2062.4172048568726,164
ord_apl_suc_sum_prc_amt_360_day_bjq_12m,2055.7631912231445,97
stg_pln_sum_prc_amt_3m_6m_rto,2048.874315261841,148
24stg_pln_repay_amt_first_der_mean_rto,2048.671093940735,165
stg_pln_sum_rep_prc_his_adv,2039.0747861862183,138
d1080_max_due_prc_amt_divide_d1080_max_faqi_prc_amt,2028.9081783294678,140
rsi_bf_1y_inter_1m,2023.6848077774048,141
12m_repay_amt_first_der_median,2007.035994052887,135
12m_repay_ftr_amt_second_der_mean_rto,2005.654348373413,159
12m_repay_amt_first_der_sum,2000.5672016143799,146
d90_repaid_interest_fee_sum_divide_d90_principal_sum,1999.5367169380188,135
3m_repay_ftr_amt_second_der_median,1992.9604425430298,154
m3_manual_deduct_rep_apl_stg_pln_cnt_avg,1980.4998989105225,91
12ord_apply_amt_second_der_sum,1978.6505098342896,151
n_unique_other_info_event_type_credit,1975.1365900039673,79
18m_used_lmt_first_der_mean_rto,1972.2940587997437,155
6m_repay_amt_second_der_median,1971.9700908660889,151
d30_d180_his_rep_amt_sum_rat_all,1970.8162670135498,127
m3_manual_rep_apl_suc_amt_sum,1965.272424697876,136
18m_repay_ftr_amt_second_der_mean_diff,1959.8857593536377,152
stg_pln_cnt_12m_ftr_his_rep_rto_all,1953.3231496810913,114
18ord_apply_amt_first_der_max,1943.4598026275635,148
