final_flag,n_samples,positive,bad_rate,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV,183739,28148,0.153196,0.9454782172964716,0.7486010109781718,0.9292738715628627,0.7141907302495427,0.9249416979738968,0.7083259362789369,0.9264364529498273,0.7098220167032866,0.9367935709699249,0.7309617590542226
DEV-OOS,183480,31827,0.173463,0.9324850770704717,0.7164854495218125,0.9259370733597045,0.7038200456930981,0.9214899812666204,0.6938746177024521,0.9232550020882132,0.7005919404477734,0.9335679118809683,0.7196854443216948
OOT,61173,7895,0.12906,0.9342264543732648,0.7328735545395605,0.9285148934521257,0.7175553288836849,0.9230971405757591,0.709733538253707,0.927598438636577,0.7147744925639008,0.9358097729687774,0.7338111461952732
OOT-OOS,61351,8889,0.144888,0.9300969438007831,0.7185632230796077,0.9215022547363674,0.700376267362946,0.9174731623111531,0.6880913602578937,0.920668484305301,0.6926983163196526,0.9299017438800257,0.7160591761902659
