intent_level,1,2,3,4,5,6,7
中意愿,0.0,0.003712,0.005171,0.004695,0.00502,0.005575,0.007685
低意愿,0.0,0.0,0.001618,0.0,0.000691,0.001942,0.002029
高意愿,0.08789,0.070186,0.059359,0.050367,0.052655,0.067071,0.116784
