intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,109069,337166.29000000004,0.0,0.0,0,0.0
中意愿,109068,720899.3300000001,43461.6,0.06028802939794658,7,6.4e-05
高意愿,109068,10183097.030000001,338201.93,0.03321208950515126,66,0.000605
