final_flag,n_samples,positive,bad_rate,dimension,dimension_value,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV,123294,2734,0.022175,blue_customer_flag,B2,0.8973838952724399,0.6387534713643087,0.8734343831711789,0.5887483165421046,0.8016159587800636,0.5199267944410115,0.8817727600992977,0.606399627876542,0.8910821752208301,0.6290384690998214
DEV-OOS,117795,3114,0.026436,blue_customer_flag,B2,0.885042551672348,0.6215533970338666,0.8817472488378447,0.6020930284383287,0.8133745791683232,0.5454955640423786,0.8881070658836911,0.6126883185172495,0.895774084833024,0.6300359702651095
OOT,43869,913,0.020812,blue_customer_flag,B2,0.876767837121497,0.6079362187977672,0.8721279292894586,0.5792957886720903,0.8056154948573886,0.5330857594035787,0.8786900006292896,0.6030768436017517,0.887747130026425,0.6183997645212652
OOT-OOS,42247,1076,0.025469,blue_customer_flag,B2,0.899794844225268,0.6492939186721371,0.8854978970141936,0.6205425324138827,0.8330924884850466,0.5882590365634196,0.8922088841723597,0.6315029012643704,0.9022303184858076,0.6508203296451766
DEV,6578,1908,0.290058,blue_customer_flag,E2,0.7981027702584407,0.4576221387239124,0.7431726110733883,0.3694387605292617,0.7288250979758394,0.36167988723239014,0.7036730278013459,0.30577844217293126,0.762950991879116,0.39265865801157307
DEV-OOS,7965,2403,0.301695,blue_customer_flag,E2,0.7578350312139791,0.3936887143497812,0.7368053755538546,0.35760210289422406,0.7231099939051973,0.3519326569942911,0.7129132827642781,0.31960453963290225,0.7584329518582416,0.38489105446670624
OOT,1384,413,0.29841,blue_customer_flag,E2,0.7329080875660499,0.36261760547400024,0.7014361280890207,0.3282890328344874,0.6834196542342958,0.311847450146251,0.6937058472955417,0.29934692025145687,0.7303720734222227,0.37861419419833775
OOT-OOS,2254,707,0.313665,blue_customer_flag,E2,0.7322435447903455,0.3537219914622361,0.7085106979351583,0.33847986545828274,0.6998959522879982,0.31350361926949,0.6904553138848838,0.2937656403002938,0.7284976442976275,0.3436609982911672
DEV,53867,23506,0.436371,blue_customer_flag,E3,0.8525172023618129,0.5414030426398571,0.7985785915216841,0.4499805563090255,0.8080916386693597,0.4670502111558776,0.7882833850661943,0.43320372371675786,0.8200805550592369,0.48367518075333615
DEV-OOS,57720,26310,0.455821,blue_customer_flag,E3,0.8215212299268717,0.4892517652833002,0.8011480857158565,0.45567831239533524,0.8097955002504243,0.4716104037635176,0.7899265879563226,0.4391401905936021,0.8231462785868924,0.4888337096052249
