intent_level,1,2,3,4,5,6,7
中意愿,0.348051,0.362611,0.364539,0.382899,0.380859,0.388776,0.389577
低意愿,0.126024,0.12073,0.126965,0.131356,0.142857,0.140744,0.11791
高意愿,0.746642,0.773083,0.765075,0.771918,0.757624,0.76119,0.758212
