intent_level,1,2,3,4,5,6,7
中意愿,0.343828,0.362882,0.361186,0.379737,0.380184,0.387464,0.377678
低意愿,0.123123,0.113259,0.121611,0.126606,0.134305,0.133251,0.11611
高意愿,0.757451,0.779968,0.773649,0.779969,0.770716,0.768233,0.772265
