intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,163248,521252.1400000001,28750.83,0.05515724117698586,2,1.2e-05
中意愿,163247,8700368.42,239162.97,0.027488832478659565,57,0.000349
高意愿,163248,174513096.33999997,5938278.56,0.03402769582651026,2093,0.012821
