intent_level,1,2,3,4,5,6,7
中意愿,0.0,0.005662,0.0045,0.003989,0.004339,0.005369,0.007974
低意愿,0.0,0.0,0.003221,0.0,0.001212,0.001684,0.001802
高意愿,0.087925,0.070341,0.059667,0.051212,0.053333,0.06719,0.116691
