intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,54179,13574918.11,242749.37000000002,0.017882197743880168,120,0.002215
中意愿,54179,38032632.17999999,1135370.74,0.02985254174958343,443,0.008177
高意愿,54180,120886003.95999998,4446408.72,0.036781832258027766,1516,0.027981
