intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,84,0,0.0
低意愿,2,137,0,0.0
低意愿,3,753,0,0.0
低意愿,4,1977,0,0.0
低意愿,5,4586,0,0.0
低意愿,6,48760,1,2.1e-05
低意愿,7,52772,0,0.0
中意愿,1,205,0,0.0
中意愿,2,1426,0,0.0
中意愿,3,4911,1,0.000204
中意愿,4,5839,0,0.0
中意愿,5,17082,4,0.000234
中意愿,6,60219,2,3.3e-05
中意愿,7,19385,1,5.2e-05
高意愿,1,4922,5,0.001016
高意愿,2,11816,12,0.001016
高意愿,3,17360,14,0.000806
高意愿,4,11234,4,0.000356
高意愿,5,24816,13,0.000524
高意愿,6,34023,15,0.000441
高意愿,7,4898,1,0.000204
