intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,163248,533297.7500000001,28750.83,0.053911403151429,2,1.2e-05
中意愿,163247,8242064.0,195216.80000000005,0.023685426368928952,61,0.000374
高意愿,163248,174959355.15,5982224.7299999995,0.034192082640400606,2089,0.012796
