intent_level,1,2,3,4,5,6,7
中意愿,0.032127,0.032091,0.031194,0.029923,0.020256,0.020936,0.027007
低意愿,0.0,0.00489,0.001486,0.001055,0.001617,0.002341,0.002467
高意愿,0.406904,0.435734,0.424166,0.455465,0.408022,0.453055,0.50438
