model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v2,1,20363,3,0.0001473260325099445
1,gcard_v2,2,10829,1,9.234463015975621e-05
1,gcard_v2,3,7232,8,0.0011061946902654867
1,gcard_v2,4,5189,8,0.0015417228753131624
1,gcard_v2,5,3591,10,0.00278473962684489
1,gcard_v2,6,1496,7,0.004679144385026738
1,gcard_v2,7,258,4,0.015503875968992248
2,gcard_v2,1,13180,10,0.0007587253414264037
2,gcard_v2,2,11266,14,0.0012426770814841115
2,gcard_v2,3,9230,9,0.0009750812567713976
2,gcard_v2,4,7108,18,0.0025323579065841305
2,gcard_v2,5,4914,27,0.005494505494505495
2,gcard_v2,6,2715,22,0.008103130755064457
2,gcard_v2,7,542,6,0.01107011070110701
2,gcard_v2,8,3,0,0.0
3,gcard_v2,1,8843,10,0.0011308379509216329
3,gcard_v2,2,10798,10,0.0009260974254491572
3,gcard_v2,3,10214,25,0.002447620912473076
3,gcard_v2,4,8396,22,0.0026202953787517864
3,gcard_v2,5,6014,32,0.005320917858330562
3,gcard_v2,6,3800,39,0.010263157894736842
3,gcard_v2,7,881,17,0.019296254256526674
3,gcard_v2,8,12,0,0.0
4,gcard_v2,1,4620,12,0.0025974025974025974
4,gcard_v2,2,9569,23,0.002403594942000209
4,gcard_v2,3,10765,19,0.0017649790989317231
4,gcard_v2,4,9803,46,0.004692441089462409
4,gcard_v2,5,7665,56,0.0073059360730593605
4,gcard_v2,6,5115,87,0.017008797653958945
4,gcard_v2,7,1376,29,0.021075581395348836
4,gcard_v2,8,44,0,0.0
5,gcard_v2,1,1795,8,0.004456824512534819
5,gcard_v2,2,5569,32,0.005746094451427546
5,gcard_v2,3,8847,49,0.005538600655589465
5,gcard_v2,4,11182,71,0.006349490252191022
5,gcard_v2,5,10793,125,0.011581580654127675
5,gcard_v2,6,7830,146,0.01864623243933589
5,gcard_v2,7,2766,68,0.024584237165582067
5,gcard_v2,8,175,3,0.017142857142857144
5,gcard_v2,9,1,0,0.0
6,gcard_v2,1,156,3,0.019230769230769232
6,gcard_v2,2,922,17,0.01843817787418655
6,gcard_v2,3,2631,57,0.021664766248574687
6,gcard_v2,4,6861,130,0.018947675265996212
6,gcard_v2,5,13402,266,0.01984778391284883
6,gcard_v2,6,15310,426,0.027824951012410188
6,gcard_v2,7,8052,273,0.03390461997019374
6,gcard_v2,8,1566,50,0.031928480204342274
6,gcard_v2,9,58,1,0.017241379310344827
7,gcard_v2,1,1,1,1.0
7,gcard_v2,2,5,0,0.0
7,gcard_v2,3,30,2,0.06666666666666667
7,gcard_v2,4,405,34,0.08395061728395062
7,gcard_v2,5,2438,153,0.06275635767022149
7,gcard_v2,6,11675,819,0.07014989293361884
7,gcard_v2,7,23008,1805,0.0784509735744089
7,gcard_v2,8,10248,930,0.09074941451990633
7,gcard_v2,9,1111,113,0.10171017101710171
7,gcard_v2,10,36,4,0.1111111111111111
8,gcard_v2,3,9,0,0.0
8,gcard_v2,4,13,1,0.07692307692307693
8,gcard_v2,5,136,29,0.21323529411764705
8,gcard_v2,6,946,204,0.2156448202959831
8,gcard_v2,7,11314,2190,0.19356549407813328
8,gcard_v2,8,26401,5223,0.19783341540093177
8,gcard_v2,9,9668,1922,0.19880016549441457
8,gcard_v2,10,471,94,0.19957537154989385
9,gcard_v2,5,5,2,0.4
9,gcard_v2,6,65,26,0.4
9,gcard_v2,7,728,306,0.42032967032967034
9,gcard_v2,8,10031,4364,0.4350513408433855
9,gcard_v2,9,28794,12737,0.44234910050705006
9,gcard_v2,10,9335,4063,0.43524370648098554
10,gcard_v2,6,6,4,0.6666666666666666
10,gcard_v2,7,33,22,0.6666666666666666
10,gcard_v2,8,477,334,0.70020964360587
10,gcard_v2,9,9326,6894,0.7392236757452284
10,gcard_v2,10,39116,32103,0.820712751815114
