intent_level,1,2,3,4,5,6,7
中意愿,0.350123,0.361938,0.363597,0.375812,0.382274,0.386596,0.377698
低意愿,0.111312,0.110062,0.115417,0.121589,0.125193,0.128222,0.107994
高意愿,0.763915,0.787207,0.777808,0.787962,0.771986,0.774795,0.77616
