intent_level,1,2,3,4,5,6,7
中意愿,0.0,0.005498,0.004042,0.004059,0.004571,0.005206,0.00764
低意愿,0.0,0.0,0.00135,0.0,0.001129,0.001519,0.001773
高意愿,0.088553,0.070835,0.060456,0.051886,0.053362,0.067024,0.114378
