intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,109068,268366.04000000004,4987.320000000001,0.018584020541496233,1,9e-06
中意愿,109068,730034.5500000002,38474.28,0.05270199883005536,6,5.5e-05
高意愿,109069,10242762.059999999,338201.93,0.03301862603259575,66,0.000605
