intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,70,0,0.0
低意愿,2,122,0,0.0
低意愿,3,741,0,0.0
低意愿,4,1978,0,0.0
低意愿,5,4427,0,0.0
低意愿,6,48715,1,2.1e-05
低意愿,7,53015,0,0.0
中意愿,1,240,0,0.0
中意愿,2,1455,0,0.0
中意愿,3,4948,1,0.000202
中意愿,4,5913,0,0.0
中意愿,5,17283,3,0.000174
中意愿,6,60120,1,1.7e-05
中意愿,7,19109,1,5.2e-05
高意愿,1,4901,5,0.00102
高意愿,2,11802,12,0.001017
高意愿,3,17335,14,0.000808
高意愿,4,11159,4,0.000358
高意愿,5,24774,14,0.000565
高意愿,6,34167,16,0.000468
高意愿,7,4931,1,0.000203
