feature,split,gain,rank
3stg_pln_repay_amt_first_der_median,1,12.402600288391113,645
6m_repay_amt_first_der_sum,1,12.38479995727539,646
percent_true_followup_code_wfjt_call_mode_manual_60d,1,12.38010025024414,647
3m_repay_amt_second_der_max,1,12.329700469970703,648
used_rate_ch_grt_0p8_rate_1m_suc,1,12.235199928283691,649
his_1080_day_prc_amt_3_000_flg_apl_ord_cnt,1,12.166299819946289,650
m1_manual_tim_6_12_rep_apl_cnt_rat,1,12.145899772644043,651
m3_stg_pln_normal_batch_rep_apl_cnt_avg,2,12.145309925079346,652
stg_pln_pay_off_cnt_d0_rep_6m_rto,1,12.127699851989746,653
m3_pmt_not_eng_equal_3_stg_pln_amt_rat,2,12.066120386123657,654
12m_repay_ftr_amt_first_der_sum,1,11.937299728393555,655
d360_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,1,11.72719955444336,656
ord_apl_suc_6_cnt_360_day_rto,1,11.724800109863281,657
stg_pln_cnt_on_1m_rto_his_light,1,11.613200187683105,658
his_max_faqi_prc_amt_divide_unpaid_principal_tot,1,11.594799995422363,659
m3_payment_not_eng_mdl_crt_ddf_avg,1,11.519200325012207,660
min_ddf_rep_tim_dte_ovd_pls_rep_6m,1,11.447999954223633,661
his_bt_apl_ord_cnt_csh_rto,1,11.434000015258789,662
d1080_faqiamt_thismon_sum_larger_than_rsk_adt_lmt_cash_count_sum,1,11.387900352478027,663
heavy_his_sum_fail_prc_amt_divide_light_his_sum_ontim_repay_amt,1,11.36240005493164,664
stg_pln_pay_off_max_prc_amt_7d,1,11.048399925231934,665
af_9m_inter_1m_sum_down,2,11.04349970817566,666
last_amt_type_light_all,1,11.021200180053711,667
f54__percent_true_call_mode_is_ai_called_phone_social_relations_is_self_90d,1,10.978899955749512,668
loan_fund_level2_principal_avg_36m,1,10.978799819946289,669
stg_pln_avg_prc_amt_6m_12m_ftr_rto_all,1,10.963399887084961,670
6stg_pln_repay_amt_first_der_min,1,10.946200370788574,671
stg_pln_sum_rep_prc_12m_his_d0_mrn_zd_v2,1,10.900099754333496,672
stg_pln_sum_rep_prc_his_d0_dwn_zd_v2,1,10.753600120544434,673
stg_pln_sum_rep_prc_6m_his_d0_non_zd_rto,1,10.735799789428711,674
stg_pln_cnt_ovd_pls_rep_bjq_12m,1,10.731200218200684,675
percent_true_followup_code_other_called_phone_social_relations_family_90d,1,10.583700180053711,676
ai_busy_cnt,1,10.5693998336792,677
his_lend_light_to_repay_heavy_inner3d_order_amt_sum,1,10.45199966430664,678
max_ddf_rep_dte_ord_crt_tim_5,1,10.336099624633789,679
m1_stg_pln_d0_pmt_not_eng_cnt_avg,1,10.192999839782715,680
ord_apl_sum_prc_amt_07_12,1,10.191399574279785,681
m1_stg_pln_pmt_not_eng_amt_max,1,10.182900428771973,682
24stg_pln_repay_amt_first_der_mean_rto,1,10.097999572753906,683
max_amt_type_light,1,10.09589958190918,684
his_360_day_csh_apl_ord_cnt_his_rto_bjq_12m,1,10.095800399780273,685
light_his_sum_ontim_repay_amt_divide_heavy_his_sum_ontim_repay_amt,1,10.056400299072266,686
m1_manual_work_day_rep_apl_cnt_rat,1,10.052900314331055,687
ord_apl_suc_6_cnt_his,1,10.0516996383667,688
d360_max_adv_repay_amt_divide_d360_max_faqi_prc_amt,1,10.034700393676758,689
3m_repay_ftr_amt_first_der_stddev,1,9.987919807434082,690
m6_stg_pln_rep_apl_amt_ovd_1d_3d_sum,1,9.968549728393555,691
stg_pln_max_prc_amt_ovd_1d_3d_rep_12m,1,9.926750183105469,692
percent_true_followup_code_wfjt_90d,1,9.831930160522461,693
stg_pln_sum_rep_prc_his_d0_evn_zd_rto_v2,1,9.720370292663574,694
6m_repay_amt_second_der_mean_rto,1,9.653809547424316,695
stg_pln_min_prc_amt_3m_6m_ftr_cash,1,9.645569801330566,696
n_unique_day_diff_shift1_event_type_loan,1,9.642930030822754,697
credit_fund_level2_min_ir_cnt_36m,1,9.57738971710205,698
stg_pln_cnt_36m_light,1,9.561969757080078,699
d360_trade_fail_stgnum_avg_mon_divide_his_trade_success_stgnum_avg_mon,1,9.538599967956543,700
12m_repay_ftr_amt_first_der_min,1,9.50963020324707,701
n_unique_channel_event_result_1,1,9.488320350646973,702
light_his_sum_fail_prc_amt_divide_heavy_his_sum_fail_prc_amt,1,9.484660148620605,703
m3_stg_pln_rep_apl_fal_cnt_max,1,9.383910179138184,704
m6_stg_pln_rep_apl_cnt_mor_2_cnt,1,9.32960033416748,705
stg_pln_sum_prc_amt_12m_36m_rto,1,9.29638957977295,706
max_rsk_lmt_rate_bjq_12m_all,1,9.28954029083252,707
d730_avl_lmt_eql_0_month_cnt,1,9.230030059814453,708
stg_pln_min_prc_amt_3m_6m_ftr_rto_cash,1,9.218440055847168,709
loan_pass_unique_fund_cnt_1m,1,9.179840087890625,710
12m_repay_ftr_amt_second_der_sum,1,9.158909797668457,711
12stg_pln_repay_amt_first_der_mean_diff,1,9.134980201721191,712
stg_pln_sum_rep_prc_his_d0_afn_pk,1,9.125760078430176,713
m3_stg_pln_rep_apl_suc_cnt_sum,1,9.083629608154297,714
m6_stg_pln_ovd_1d_3d_manual_rep_apl_suc_cnt,1,9.078089714050293,715
stg_pln_max_prc_amt_ovd_14d_pls_rep_bjq_12m,1,9.064180374145508,716
6m_repay_amt_first_der_median,1,8.86775016784668,717
12m_repay_amt_second_der_median,1,8.724630355834961,718
d90_repaid_interest_fee_sum_divide_d90_principal_sum,1,8.709819793701172,719
min_ddf_mdl_rep_dte_his_bjq,1,8.690750122070312,720
credit_max_limit_cnt_24m,1,8.652839660644531,721
stg_pln_sum_rep_prc_his_d0_afn_zd_rto_v2,1,8.594590187072754,722
