feature,rank,gain,split_importance,bin_order,bin_label,lower_bound,upper_bound,is_missing_bin,split_value,good,bad,total,bad_rate,pop_pct,woe,iv_component,status,skip_reason
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,2,"(8, 18]",8.0,18.0,False,DEV-OOS,57207,117387,174594,0.672342692188735,0.04849833333333333,2.2792297606904968,0.384322976498589,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,3,"(18, 31]",18.0,31.0,False,DEV-OOS,70607,99667,170274,0.5853330514347463,0.04729833333333333,1.9051376159713787,0.2586402317897333,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,4,"(31, 47]",31.0,47.0,False,DEV-OOS,101864,76127,177991,0.42770140063261625,0.04944194444444444,1.2692004086800728,0.11116097042289672,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,5,"(47, 70]",47.0,70.0,False,DEV-OOS,114652,58051,172703,0.33613197222978175,0.047973055555555554,0.8798590742734852,0.04782839764156824,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,6,"(70, 103]",70.0,103.0,False,DEV-OOS,123418,43742,167160,0.2616774347930127,0.04643333333333333,0.5231734915706587,0.014918210918675037,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,7,"(103, 149]",103.0,149.0,False,DEV-OOS,129459,30838,160297,0.19238039389383457,0.044526944444444445,0.12583015969817887,0.0007341946172627256,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,8,"(149, 207]",149.0,207.0,False,DEV-OOS,132941,20262,153203,0.132255895772276,0.04255638888888889,-0.32070295354237166,0.003931732014252426,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,9,"(207, 278]",207.0,278.0,False,DEV-OOS,138415,13698,152113,0.09005147489037754,0.04225361111111111,-0.7525393521124109,0.01851521797792895,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,10,"(278, inf]",278.0,inf,False,DEV-OOS,139689,9428,149117,0.06322552089969621,0.04142138888888889,-1.1352507439626225,0.03617465988367629,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,0,Missing,,,True,OOT-OOS,687364,6341,693705,0.00914077309519176,0.5780875,-2.894352991042837,1.8272610471757458,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,1,"(-inf, 8]",-inf,8.0,False,OOT-OOS,12797,31291,44088,0.7097396116857194,0.03674,2.685493050459198,0.45662173246077764,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,2,"(8, 18]",8.0,18.0,False,OOT-OOS,16548,29781,46329,0.6428155151201191,0.0386075,2.378988326726839,0.374881607097409,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,3,"(18, 31]",18.0,31.0,False,OOT-OOS,22661,27812,50473,0.551027281913102,0.04206083333333333,1.9962145052159563,0.27977876693935677,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,4,"(31, 47]",31.0,47.0,False,OOT-OOS,35454,23992,59446,0.4035931770009757,0.04953833333333333,1.4008874918749135,0.14770999049908,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,5,"(47, 70]",47.0,70.0,False,OOT-OOS,41131,18504,59635,0.3102875827953383,0.049695833333333335,0.9926360890797143,0.06741753506078575,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,6,"(70, 103]",70.0,103.0,False,OOT-OOS,44924,13418,58342,0.2299886873950156,0.04861833333333333,0.5830474435153298,0.02015656128975144,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,7,"(103, 149]",103.0,149.0,False,OOT-OOS,46842,9110,55952,0.16281812982556476,0.046626666666666663,0.1540330786557513,0.0011682324401607392,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,8,"(149, 207]",149.0,207.0,False,OOT-OOS,40115,5132,45247,0.11342188432382258,0.037705833333333334,-0.26477352874402915,0.002402251314503806,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,9,"(207, 278]",207.0,278.0,False,OOT-OOS,39966,3377,43343,0.0779133885517846,0.03611916666666667,-0.6795094177241766,0.013020899797703017,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,2331466.470018983,458,10,"(278, inf]",278.0,inf,False,OOT-OOS,40720,2720,43440,0.06261510128913444,0.0362,-0.9145195695629416,0.02169840872921573,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,0,"(-inf, 3000]",-inf,3000.0,False,DEV,2715838,166743,2882581,0.05784503540403548,0.8007169444444444,-1.0787464668353355,0.6340754447457904,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,1,"(3000, 13500]",3000.0,13500.0,False,DEV,177660,181584,359244,0.5054614690850787,0.09979,1.733499538503739,0.4706827054016101,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,2,"(13500, inf]",13500.0,inf,False,DEV,155885,202290,358175,0.5647797864172541,0.09949305555555556,1.9722358738153734,0.6237540078538417,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,0,"(-inf, 3000]",-inf,3000.0,False,OOT,935964,45525,981489,0.04638360694821847,0.8179075,-1.1080734584248377,0.6641623273355909,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,1,"(3000, 13500]",3000.0,13500.0,False,OOT,54345,44247,98592,0.4487889483933788,0.08216,1.7096685406848418,0.402157323343329,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,2,"(13500, inf]",13500.0,inf,False,OOT,55619,64300,119919,0.536195265137301,0.0999325,2.060265029523112,0.7502649360405653,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,0,"(-inf, 3000]",-inf,3000.0,False,DEV-OOS,2615131,185689,2800820,0.06629808413250406,0.7780055555555555,-1.084554340363919,0.6310542093487921,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,1,"(3000, 13500]",3000.0,13500.0,False,DEV-OOS,192562,207758,400320,0.5189798161470823,0.1112,1.636394968831042,0.4381305394046848,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,2,"(13500, inf]",13500.0,inf,False,DEV-OOS,167407,231453,398860,0.5802863160006018,0.11079444444444445,1.884387427228981,0.5919133461558234,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,0,"(-inf, 3000]",-inf,3000.0,False,OOT-OOS,904225,50352,954577,0.05274797109086014,0.7954808333333333,-1.096614674115896,0.6420825956595156,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,1,"(3000, 13500]",3000.0,13500.0,False,OOT-OOS,62502,51035,113537,0.44950104371262234,0.09461416666666667,1.5887307447704244,0.3762901058401119,ok,
ord_apl_sum_prc_amt_90_day,2,2261862.901741028,59,2,"(13500, inf]",13500.0,inf,False,OOT-OOS,61795,70091,131886,0.531451405001289,0.109905,1.9173868167678652,0.6685235535245687,ok,
ord_apl_max_prc_amt_180_day,3,1858213.4619431496,97,0,"(-inf, 1600]",-inf,1600.0,False,DEV,2436899,90572,2527471,0.035835030352474866,0.7020752777777778,-1.5806790685788856,1.0031818234888825,ok,
