model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v6,1,24298,8,0.00032924520536669683
1,gcard_v6,2,11803,8,0.0006777937812420572
1,gcard_v6,3,5429,9,0.0016577638607478357
1,gcard_v6,4,3508,7,0.0019954389965792475
1,gcard_v6,5,2584,12,0.0046439628482972135
1,gcard_v6,6,1263,11,0.00870942201108472
1,gcard_v6,7,90,1,0.011111111111111112
2,gcard_v6,1,12861,7,0.0005442811600964155
2,gcard_v6,2,14190,11,0.0007751937984496124
2,gcard_v6,3,9034,18,0.0019924728802302415
2,gcard_v6,4,6017,12,0.0019943493435266744
2,gcard_v6,5,4427,24,0.0054212785181838715
2,gcard_v6,6,2131,14,0.00656968559361802
2,gcard_v6,7,314,5,0.01592356687898089
3,gcard_v6,1,6928,7,0.0010103926096997691
3,gcard_v6,2,11358,15,0.0013206550449022716
3,gcard_v6,3,11708,21,0.00179364537068671
3,gcard_v6,4,9234,27,0.0029239766081871343
3,gcard_v6,5,6247,35,0.0056026892908596125
3,gcard_v6,6,2910,53,0.018213058419243987
3,gcard_v6,7,589,15,0.025466893039049237
4,gcard_v6,1,3852,7,0.0018172377985462098
4,gcard_v6,2,7442,17,0.0022843321687718355
4,gcard_v6,3,11248,30,0.0026671408250355617
4,gcard_v6,4,12521,51,0.004073157096078588
4,gcard_v6,5,8973,63,0.007021063189568706
4,gcard_v6,6,4187,77,0.01839025555290184
4,gcard_v6,7,751,25,0.033288948069241014
5,gcard_v6,1,995,4,0.004020100502512563
5,gcard_v6,2,3851,21,0.005453129057387691
5,gcard_v6,3,9725,48,0.00493573264781491
5,gcard_v6,4,13200,100,0.007575757575757576
5,gcard_v6,5,12941,133,0.010277412873811915
5,gcard_v6,6,6953,142,0.020422839062275277
5,gcard_v6,7,1310,39,0.029770992366412213
6,gcard_v6,1,41,2,0.04878048780487805
6,gcard_v6,2,325,5,0.015384615384615385
6,gcard_v6,3,1815,38,0.0209366391184573
6,gcard_v6,4,4468,75,0.016786034019695615
6,gcard_v6,5,13386,257,0.019199163304945466
6,gcard_v6,6,22548,558,0.02474720596061735
6,gcard_v6,7,6357,288,0.045304388862671074
6,gcard_v6,8,34,5,0.14705882352941177
7,gcard_v6,2,5,0,0.0
7,gcard_v6,3,15,5,0.3333333333333333
7,gcard_v6,4,26,8,0.3076923076923077
7,gcard_v6,5,408,48,0.11764705882352941
7,gcard_v6,6,8861,540,0.060941203024489334
7,gcard_v6,7,31275,2406,0.07693045563549161
7,gcard_v6,8,8263,963,0.11654362822219533
7,gcard_v6,9,121,18,0.1487603305785124
8,gcard_v6,5,7,1,0.14285714285714285
8,gcard_v6,6,115,26,0.22608695652173913
8,gcard_v6,7,8110,1460,0.18002466091245375
8,gcard_v6,8,32878,6602,0.20080296855039845
8,gcard_v6,9,7835,1871,0.23880025526483728
8,gcard_v6,10,29,9,0.3103448275862069
9,gcard_v6,5,2,0,0.0
9,gcard_v6,6,6,1,0.16666666666666666
9,gcard_v6,7,174,60,0.3448275862068966
9,gcard_v6,8,7711,3032,0.393204513033329
9,gcard_v6,9,35675,15823,0.44353188507358093
9,gcard_v6,10,5406,2518,0.465778764335923
10,gcard_v6,7,4,1,0.25
10,gcard_v6,8,88,52,0.5909090909090909
10,gcard_v6,9,5343,3713,0.6949279431031256
10,gcard_v6,10,43540,35297,0.8106798346348185
