intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,54179,13901378.75,269352.75,0.01937597376806959,127,0.002344
中意愿,54179,38366742.010000005,1079690.06,0.028141301643975578,440,0.008121
高意愿,54180,120225433.49,4475486.0200000005,0.037225784013265865,1512,0.027907
