intent_level,1,2,3,4,5,6,7
中意愿,0.035152,0.032978,0.032625,0.030091,0.020203,0.020853,0.025878
低意愿,0.0,0.002674,0.002644,0.000818,0.001758,0.002397,0.002722
高意愿,0.407778,0.435544,0.423734,0.454304,0.40994,0.452688,0.502022
