feature,rank,gain,split_importance,bin_order,bin_label,lower_bound,upper_bound,is_missing_bin,split_value,good,bad,total,bad_rate,pop_pct,woe,iv_component,status,skip_reason
d180_apl_ord_days_cnt,1,676358.0841460228,128,0,Missing,,,True,DEV,103153,989,104142,0.009496648806437365,0.5667931141456087,-2.937121059107543,1.843967368952268,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,1,"(-inf, 1]",-inf,1.0,False,DEV,35231,5445,40676,0.13386272003146818,0.22137923902927523,-0.15749836432021616,0.005196817131957504,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,2,"(1, 2]",1.0,2.0,False,DEV,6656,3486,10142,0.34371918753697495,0.05519786218494713,1.0629571717308806,0.0861704058899413,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,3,"(2, 3]",2.0,3.0,False,DEV,3583,3019,6602,0.4572856710087852,0.03593140269621583,1.5384039032557688,0.12957655860022463,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,4,"(3, 5]",3.0,5.0,False,DEV,3617,4675,8292,0.5637964302942595,0.04512923222614687,1.9662055543116495,0.28084095689370514,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,5,"(5, 8]",5.0,8.0,False,DEV,2008,4412,6420,0.6872274143302181,0.0349408672083771,2.4967058723840023,0.3591078215906881,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,6,"(8, inf]",8.0,inf,False,DEV,1343,6122,7465,0.8200937709310114,0.04062828250942913,3.2263449857125637,0.6738200424441046,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,0,Missing,,,True,OOT,36982,328,37310,0.008791208791208791,0.6099096006408056,-2.814746957879746,1.8366400515335786,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,1,"(-inf, 1]",-inf,1.0,False,OOT,10170,1475,11645,0.1266638042078145,0.19036176090758994,-0.02157814669756825,8.792592270212386e-05,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,2,"(1, 2]",1.0,2.0,False,OOT,2090,875,2965,0.2951096121416526,0.048469095842937245,1.0385529118912664,0.07436955329007942,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,3,"(2, 3]",2.0,3.0,False,OOT,1229,759,1988,0.3817907444668008,0.032497997482549494,1.4272137713415598,0.10430356077739233,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,4,"(3, 5]",3.0,5.0,False,OOT,1305,1239,2544,0.48702830188679247,0.04158697464567702,1.8570382742980414,0.24592125157407424,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,5,"(5, 8]",5.0,8.0,False,OOT,813,1172,1985,0.5904282115869017,0.03244895623886355,2.2744638846233216,0.30290842362599446,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,6,"(8, inf]",8.0,inf,False,OOT,689,2047,2736,0.748172514619883,0.044725614241577165,2.9973244294558476,0.7381982461094442,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,0,Missing,,,True,DEV-OOS,97636,1018,98654,0.010318892290226448,0.537682581207761,-3.001727296785559,1.8364648238587544,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,1,"(-inf, 1]",-inf,1.0,False,DEV-OOS,35788,5988,41776,0.14333588663347377,0.22768694135600612,-0.22659250389862154,0.01084172316372809,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,2,"(1, 2]",1.0,2.0,False,DEV-OOS,6893,3916,10809,0.362290683689518,0.058911052975801174,0.9958126046428358,0.07726277946458548,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,3,"(2, 3]",2.0,3.0,False,DEV-OOS,3845,3360,7205,0.46634281748785567,0.03926858513189448,1.4263792843601384,0.11442157436356717,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,4,"(3, 5]",3.0,5.0,False,DEV-OOS,3852,5334,9186,0.5806662312214239,0.05006540222367561,1.8866660168844716,0.26826132603060016,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,5,"(5, 8]",5.0,8.0,False,DEV-OOS,2182,5003,7185,0.6963117606123869,0.039159581425768475,2.3908598042639797,0.34141699593550284,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,6,"(8, inf]",8.0,inf,False,DEV-OOS,1457,7208,8665,0.8318522792844778,0.04722585567909309,3.159731391474537,0.6852024400391455,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,0,Missing,,,True,OOT-OOS,35004,305,35309,0.008638024299753603,0.5755244413293997,-2.9663345391369194,1.8772033652991678,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,1,"(-inf, 1]",-inf,1.0,False,OOT-OOS,10673,1667,12340,0.13508914100486225,0.20113771576665418,-0.08149094932442005,0.0012974075472346686,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,2,"(1, 2]",1.0,2.0,False,OOT-OOS,2393,1109,3502,0.31667618503712164,0.05708138416651725,1.00610031942704,0.07963043331598386,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,3,"(2, 3]",2.0,3.0,False,OOT-OOS,1354,861,2215,0.3887133182844244,0.0361037309905299,1.3224349803297897,0.09397543966488667,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,4,"(3, 5]",3.0,5.0,False,OOT-OOS,1448,1402,2850,0.4919298245614035,0.04645401052957572,1.7426754060744014,0.22673698484249344,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,5,"(5, 8]",5.0,8.0,False,OOT-OOS,851,1347,2198,0.6128298453139217,0.035826636892634184,2.2339543885673643,0.3022595627001045,ok,
d180_apl_ord_days_cnt,1,676358.0841460228,128,6,"(8, inf]",8.0,inf,False,OOT-OOS,739,2198,2937,0.7483827034388832,0.047872080324689086,2.8645038923569657,0.6678185090496024,ok,
first_day_diff_event_result_1_all,2,290729.337198019,240,0,"(-inf, 4]",-inf,4.0,False,DEV,9152,11411,20563,0.5549287555317803,0.11191418261773493,1.9302035364791579,0.6688473328590748,ok,
first_day_diff_event_result_1_all,2,290729.337198019,240,1,"(4, 11]",4.0,11.0,False,DEV,10536,7702,18238,0.42230507731110867,0.09926036388572922,1.396308515463173,0.28746816000339326,ok,
first_day_diff_event_result_1_all,2,290729.337198019,240,2,"(11, 23]",11.0,23.0,False,DEV,11717,5176,16893,0.3063991002190256,0.0919401977805474,0.892654685038924,0.09690933699749142,ok,
first_day_diff_event_result_1_all,2,290729.337198019,240,3,"(23, 136]",23.0,136.0,False,DEV,15463,2415,17878,0.1350822239624119,0.09730106292077349,-0.1469671195804705,0.0019963055476819747,ok,
first_day_diff_event_result_1_all,2,290729.337198019,240,4,"(136, 375]",136.0,375.0,False,DEV,17738,593,18331,0.032349571763679016,0.09976651663500945,-1.68784649993059,0.1568386440974993,ok,
