_month,samples,positive,target_rate
2025-06,60987,10778,0.176726187548166
2025-07,60999,10440,0.17115034672699553
2025-08,61035,10740,0.1759646104694028
2025-09,61200,9865,0.16119281045751635
2025-10,61423,9264,0.15082298161926314
2025-11,61575,8888,0.14434429557450265
2025-12,61187,8668,0.14166407897102326
2026-01,61337,8116,0.1323181766307449
