score_column,score_band,n_samples,bad,bad_rate,blue_customer_flag,zc_level,prc_amt_xz_30d_3m_sum,ovd_amt_xz_30d_3m_sum
model_score,5,23167,14680,0.6336599473388872,E3,4,24935493.37,1025501.3600000001
model_score,5,3935,2469,0.6274459974587039,E3,5,2564502.1,155842.27000000002
model_score,5,18913,11980,0.6334267435097551,E3,6,10457130.86,583269.1
model_score,5,6334,4038,0.6375118408588569,E3,7,1645076.1400000001,77001.62999999999
gcard_v2,1,141,0,0.0,B2,1,0.0,0.0
gcard_v2,1,437,1,0.002288329519450801,B2,2,0.0,0.0
gcard_v2,1,1954,7,0.0035823950870010235,B2,3,35739.159999999996,0.0
gcard_v2,1,3038,8,0.0026333113890717576,B2,4,14832.26,0.0
gcard_v2,1,7927,13,0.0016399646776838652,B2,5,47359.619999999995,1267.63
gcard_v2,1,48807,82,0.0016800868727846416,B2,6,185820.62999999998,4071.4300000000003
gcard_v2,1,35549,32,0.0009001659681003685,B2,7,40587.79000000001,0.0
gcard_v2,1,2,0,0.0,E3,2,0.0,0.0
gcard_v2,1,4,0,0.0,E3,3,0.0,0.0
gcard_v2,1,25,0,0.0,E3,4,0.0,0.0
gcard_v2,1,5,0,0.0,E3,5,0.0,0.0
gcard_v2,1,27,1,0.037037037037037035,E3,6,0.0,0.0
gcard_v2,2,269,1,0.0037174721189591076,B2,1,0.0,0.0
gcard_v2,2,1821,15,0.008237232289950576,B2,2,53553.33,0.0
gcard_v2,2,5219,42,0.008047518681739797,B2,3,155073.41,41.160000000000004
gcard_v2,2,5492,37,0.0067370721048798255,B2,4,178875.32,0.0
gcard_v2,2,15220,111,0.007293035479632063,B2,5,227967.75999999998,4791.83
gcard_v2,2,47904,235,0.00490564462257849,B2,6,420521.18,26341.420000000002
gcard_v2,2,21787,55,0.002524441180520494,B2,7,54449.05,0.0
gcard_v2,2,6,0,0.0,E2,3,0.0,0.0
gcard_v2,2,4,0,0.0,E2,4,0.0,0.0
gcard_v2,2,1,0,0.0,E2,5,0.0,0.0
gcard_v2,2,6,0,0.0,E2,6,0.0,0.0
gcard_v2,2,4,0,0.0,E3,2,0.0,0.0
gcard_v2,2,46,1,0.021739130434782608,E3,3,0.0,0.0
gcard_v2,2,64,0,0.0,E3,4,0.0,0.0
gcard_v2,2,19,0,0.0,E3,5,0.0,0.0
gcard_v2,2,49,2,0.04081632653061224,E3,6,0.0,0.0
gcard_v2,2,4,0,0.0,E3,7,0.0,0.0
gcard_v2,3,1724,54,0.031322505800464036,B2,1,720203.75,0.0
