split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.021442
DEV,ks,gcard_v2,0.045848
DEV,auc,gcard_v4,0.025774
DEV,ks,gcard_v4,0.051713
DEV,auc,gcard_v5,0.024279
DEV,ks,gcard_v5,0.050217
DEV,auc,gcard_v6,0.013922
DEV,ks,gcard_v6,0.029077
DEV-OOS,auc,gcard_v2,0.006834
DEV-OOS,ks,gcard_v2,0.014196
DEV-OOS,auc,gcard_v4,0.011281
DEV-OOS,ks,gcard_v4,0.024141
DEV-OOS,auc,gcard_v5,0.009516
DEV-OOS,ks,gcard_v5,0.017424
DEV-OOS,auc,gcard_v6,-0.000797
DEV-OOS,ks,gcard_v6,-0.00167
OOT,auc,gcard_v2,0.005965
OOT,ks,gcard_v2,0.014962
OOT,auc,gcard_v4,0.011383
OOT,ks,gcard_v4,0.022784
OOT,auc,gcard_v5,0.006882
OOT,ks,gcard_v5,0.017743
OOT,auc,gcard_v6,-0.00133
OOT,ks,gcard_v6,-0.001293
OOT-OOS,auc,gcard_v2,0.008514
OOT-OOS,ks,gcard_v2,0.019561
OOT-OOS,auc,gcard_v4,0.012543
OOT-OOS,ks,gcard_v4,0.031845
OOT-OOS,auc,gcard_v5,0.009348
OOT-OOS,ks,gcard_v5,0.027239
OOT-OOS,auc,gcard_v6,0.000114
OOT-OOS,ks,gcard_v6,0.003878
