intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,52,0,0.0
低意愿,2,104,0,0.0
低意愿,3,612,0,0.0
低意愿,4,1701,0,0.0
低意愿,5,4021,0,0.0
低意愿,6,48385,0,0.0
低意愿,7,54194,0,0.0
中意愿,1,234,0,0.0
中意愿,2,1407,0,0.0
中意愿,3,4941,1,0.000202
中意愿,4,6039,1,0.000166
中意愿,5,17610,3,0.00017
中意愿,6,60810,3,4.9e-05
中意愿,7,18026,1,5.5e-05
高意愿,1,4925,5,0.001015
高意愿,2,11868,12,0.001011
高意愿,3,17471,14,0.000801
高意愿,4,11310,3,0.000265
高意愿,5,24853,14,0.000563
高意愿,6,33807,15,0.000444
高意愿,7,4835,1,0.000207
