month,bin,base_prop,current_prop,psi_component,score_column
2025-06,0,0.09229835866660108,0.09229835866660108,0.0,model_score
2025-06,1,0.08557561447521603,0.08557561447521603,0.0,model_score
2025-06,2,0.0829685014839228,0.0829685014839228,0.0,model_score
2025-06,3,0.0836407759030613,0.0836407759030613,0.0,model_score
2025-06,4,0.09470870841326841,0.09470870841326841,0.0,model_score
2025-06,5,0.10408775640710315,0.10408775640710315,0.0,model_score
2025-06,6,0.10981028743830652,0.10981028743830652,0.0,model_score
2025-06,7,0.11500811648384082,0.11500811648384082,0.0,model_score
2025-06,8,0.11348320133799006,0.11348320133799006,0.0,model_score
2025-06,9,0.11841867939068981,0.11841867939068981,0.0,model_score
2025-07,0,0.09229835866660108,0.09832948081116084,0.0003817551338289114,model_score
2025-07,1,0.08557561447521603,0.09314906801750848,0.0006422343640274525,model_score
2025-07,2,0.0829685014839228,0.09050968048656535,0.0006560507187305225,model_score
2025-07,3,0.0836407759030613,0.09113264151871342,0.0006426888898883913,model_score
2025-07,4,0.09470870841326841,0.09429662781357072,1.7968877784588691e-06,model_score
2025-07,5,0.10408775640710315,0.10057541926916835,0.00012056612950391958,model_score
2025-07,6,0.10981028743830652,0.10410006721421662,0.0003049348723885749,model_score
2025-07,7,0.11500811648384082,0.1063951868063411,0.0006704508134620412,model_score
2025-07,8,0.11348320133799006,0.10628043082673487,0.00047231191962484654,model_score
2025-07,9,0.11841867939068981,0.11523139723602026,8.696250272957983e-05,model_score
2025-08,0,0.09229835866660108,0.10054886540509543,0.0007063875406900829,model_score
2025-08,1,0.08557561447521603,0.09640370279347915,0.0012901044227706117,model_score
2025-08,2,0.0829685014839228,0.09291390185958875,0.0011259410748683215,model_score
2025-08,3,0.0836407759030613,0.09525681985745883,0.0015106137736837011,model_score
2025-08,4,0.09470870841326841,0.09651839108708118,3.4252981438295105e-05,model_score
2025-08,5,0.10408775640710315,0.09743589743589744,0.00043928647304914786,model_score
2025-08,6,0.10981028743830652,0.09768165806504464,0.0014195397892318334,model_score
2025-08,7,0.11500811648384082,0.10266240681576144,0.0014019380785046942,model_score
2025-08,8,0.11348320133799006,0.10493978864585893,0.0006686764719712032,model_score
2025-08,9,0.11841867939068981,0.11563856803473417,6.60469413814031e-05,model_score
2025-09,0,0.09229835866660108,0.10191176470588235,0.0009525061534299287,model_score
2025-09,1,0.08557561447521603,0.10256535947712418,0.0030768408403398953,model_score
2025-09,2,0.0829685014839228,0.10112745098039215,0.0035940297481137297,model_score
2025-09,3,0.0836407759030613,0.09880718954248366,0.0025273193267690186,model_score
2025-09,4,0.09470870841326841,0.10029411764705883,0.00032005004657391595,model_score
2025-09,5,0.10408775640710315,0.09934640522875816,0.00022104923303401577,model_score
2025-09,6,0.10981028743830652,0.10223856209150327,0.000540964117624915,model_score
2025-09,7,0.11500811648384082,0.09581699346405229,0.003503582267065015,model_score
2025-09,8,0.11348320133799006,0.09580065359477125,0.0029951638727502114,model_score
2025-09,9,0.11841867939068981,0.10209150326797385,0.0024222504246849907,model_score
2025-10,0,0.09229835866660108,0.10087426534034483,0.0007619563133557164,model_score
2025-10,1,0.08557561447521603,0.10372336095599369,0.0034903016181489954,model_score
2025-10,2,0.0829685014839228,0.10572586816013546,0.00551612530940814,model_score
2025-10,3,0.0836407759030613,0.10375592204874395,0.004335016871866598,model_score
2025-10,4,0.09470870841326841,0.10082542370121941,0.0003828121129454534,model_score
2025-10,5,0.10408775640710315,0.1038210442342445,6.8429447732428e-07,model_score
2025-10,6,0.10981028743830652,0.09866011103332628,0.001193888366180836,model_score
2025-10,7,0.11500811648384082,0.09600638197417906,0.0034314859058977402,model_score
2025-10,8,0.11348320133799006,0.09250606450352473,0.004287320130546255,model_score
2025-10,9,0.11841867939068981,0.0941015580482881,0.005589335834491962,model_score
2025-11,0,0.09229835866660108,0.10509135200974422,0.0016605770005009314,model_score
2025-11,1,0.08557561447521603,0.10400324807145757,0.003593789624502647,model_score
2025-11,2,0.0829685014839228,0.10881039382866423,0.0070069212255933514,model_score
2025-11,3,0.0836407759030613,0.10512383272431994,0.0049111957073947774,model_score
2025-11,4,0.09470870841326841,0.10332115306536743,0.0007495942335603088,model_score
2025-11,5,0.10408775640710315,0.10031668696711328,0.0001391611477758307,model_score
2025-11,6,0.10981028743830652,0.09617539585870889,0.0018077228194772967,model_score
2025-11,7,0.11500811648384082,0.09307348761672757,0.00464165992337708,model_score
2025-11,8,0.11348320133799006,0.09529841656516444,0.003175820354559543,model_score
2025-11,9,0.11841867939068981,0.08878603329273244,0.008534116724475306,model_score
2025-12,0,0.09229835866660108,0.09874646575252913,0.00043543586378915345,model_score
2025-12,1,0.08557561447521603,0.10850344027326066,0.005442642015452173,model_score
2025-12,2,0.0829685014839228,0.10713059963717783,0.006175532954423337,model_score
2025-12,3,0.0836407759030613,0.10842172356873192,0.0064305894841149335,model_score
2025-12,4,0.09470870841326841,0.10412342491052021,0.0008922422798720467,model_score
2025-12,5,0.10408775640710315,0.09753705852550379,0.0004258082120206322,model_score
2025-12,6,0.10981028743830652,0.09443182375341168,0.002320242386883998,model_score
2025-12,7,0.11500811648384082,0.09575563436677725,0.0035271169621909062,model_score
2025-12,8,0.11348320133799006,0.09729190841191757,0.0024924713662064397,model_score
2025-12,9,0.11841867939068981,0.08805792080016997,0.008993818695380011,model_score
2026-01,0,0.09229835866660108,0.10214063289694637,0.0009972611393747816,model_score
2026-01,1,0.08557561447521603,0.10593931884506905,0.004346960575621017,model_score
2026-01,2,0.0829685014839228,0.11060208357109086,0.007944043914282096,model_score
2026-01,3,0.0836407759030613,0.11368342109982556,0.00921968000059338,model_score
2026-01,4,0.09470870841326841,0.1058414986060616,0.0012372618397344366,model_score
2026-01,5,0.10408775640710315,0.09687464336371195,0.0005180208829765184,model_score
2026-01,6,0.10981028743830652,0.0969724636027194,0.0015960901670278788,model_score
2026-01,7,0.11500811648384082,0.0954236431517681,0.003655957491054017,model_score
2026-01,8,0.11348320133799006,0.09454326100070104,0.003458381999226774,model_score
2026-01,9,0.11841867939068981,0.07797903386210607,0.016895137172272146,model_score
2025-06,0,0.08308181877829539,0.08308181877829539,0.0,gcard_v2
2025-06,1,0.0817039564333049,0.0817039564333049,0.0,gcard_v2
2025-06,2,0.08733022767534938,0.08733022767534938,0.0,gcard_v2
2025-06,3,0.09189029591234171,0.09189029591234171,0.0,gcard_v2
2025-06,4,0.09674562036611771,0.09674562036611771,0.0,gcard_v2
2025-06,5,0.1010596417557903,0.1010596417557903,0.0,gcard_v2
2025-06,6,0.11126238435798176,0.11126238435798176,0.0,gcard_v2
2025-06,7,0.11098353126435273,0.11098353126435273,0.0,gcard_v2
2025-06,8,0.10999934387507382,0.10999934387507382,0.0,gcard_v2
2025-06,9,0.12594317958139228,0.12594317958139228,0.0,gcard_v2
2025-07,0,0.08308181877829539,0.09114468008332104,0.0007468003083042845,gcard_v2
2025-07,1,0.0817039564333049,0.09020977874001541,0.0008423775627884584,gcard_v2
2025-07,2,0.08733022767534938,0.09475307123292165,0.0006055377911230378,gcard_v2
2025-07,3,0.09189029591234171,0.09424461611638701,5.956023151745078e-05,gcard_v2
2025-07,4,0.09674562036611771,0.0965244632518165,5.061361752294681e-07,gcard_v2
2025-07,5,0.1010596417557903,0.09880431038724598,5.090198040238951e-05,gcard_v2
2025-07,6,0.11126238435798176,0.10533221801243255,0.0003248064688339973,gcard_v2
2025-07,7,0.11098353126435273,0.10505338778723614,0.0003256428414193674,gcard_v2
2025-07,8,0.10999934387507382,0.10385605799668685,0.0003530455361053403,gcard_v2
2025-07,9,0.12594317958139228,0.12007741639193689,0.0002797627541347273,gcard_v2
2025-08,0,0.08308181877829539,0.0973599252716278,0.0022643476342352527,gcard_v2
2025-08,1,0.0817039564333049,0.09486897953163664,0.0019667800617481556,gcard_v2
2025-08,2,0.08733022767534938,0.0953278379574245,0.0007007923845294459,gcard_v2
2025-08,3,0.09189029591234171,0.09772045689188967,0.00035864522095900776,gcard_v2
2025-08,4,0.09674562036611771,0.09518034774913554,2.5532060180622925e-05,gcard_v2
2025-08,5,0.1010596417557903,0.09639304501728913,0.00022062177471256398,gcard_v2
2025-08,6,0.11126238435798176,0.09952311499319906,0.0013089438660242737,gcard_v2
