intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,54179,13911897.180000002,271852.75,0.01954102639507863,130,0.002399
中意愿,54180,37952293.53,1077089.3900000001,0.028380086941217332,432,0.007973
高意愿,54179,120629363.54,4475586.69,0.037101967204825066,1517,0.028
