intent_level,1,2,3,4,5,6,7
中意愿,0.0,0.005686,0.004655,0.003809,0.004373,0.005427,0.007545
低意愿,0.0,0.0,0.001634,0.0,0.001492,0.001736,0.002011
高意愿,0.088122,0.070442,0.059813,0.051282,0.053233,0.066939,0.115615
