month,psi,n_samples,score_column
2025-06,0.0,121345,model_score
2025-07,0.004045002978718065,121313,model_score
2025-08,0.008814001378464796,121780,model_score
2025-09,0.021698608527558713,121516,model_score
2025-10,0.029584365203402668,121787,model_score
2025-11,0.03940846921685302,122133,model_score
2025-12,0.045572066805250715,121746,model_score
2026-01,0.057754149394454155,122095,model_score
2025-06,0.0,121293,gcard_v2
2025-07,0.0036913144578444757,121257,gcard_v2
2025-08,0.008433083449982868,121750,gcard_v2
2025-09,0.02029658481888935,121465,gcard_v2
2025-10,0.029939144499931587,121750,gcard_v2
2025-11,0.03968508154184956,122100,gcard_v2
2025-12,0.04231638447526073,121712,gcard_v2
2026-01,0.056939856319117965,122056,gcard_v2
2025-06,0.0,121342,gcard_v4
2025-07,0.0031179775925758942,121311,gcard_v4
2025-08,0.0063477287309926045,121778,gcard_v4
2025-09,0.017154671036458933,121514,gcard_v4
2025-10,0.023684407207403408,121782,gcard_v4
2025-11,0.030748637687111464,122132,gcard_v4
2025-12,0.03297228426938709,121743,gcard_v4
2026-01,0.043799249657596614,122094,gcard_v4
2025-06,0.0,121345,gcard_v5
2025-07,0.008269307456743029,121313,gcard_v5
2025-08,0.014033106838690839,121780,gcard_v5
2025-09,0.02856669829379494,121516,gcard_v5
2025-10,0.03795832095979376,121787,gcard_v5
2025-11,0.054471716577294486,122133,gcard_v5
2025-12,0.06474716649515605,121746,gcard_v5
2026-01,0.08099373826120479,122095,gcard_v5
2025-06,0.0,121345,gcard_v6
2025-07,0.0034741281128616757,121313,gcard_v6
2025-08,0.00873987814965896,121780,gcard_v6
2025-09,0.020131490165270674,121516,gcard_v6
2025-10,0.029538806836838256,121787,gcard_v6
2025-11,0.0363434156542272,122133,gcard_v6
2025-12,0.038503483333367075,121746,gcard_v6
2026-01,0.051012483684926155,122095,gcard_v6
