final_flag,n_samples,positive,bad_rate,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV,365051,55734,0.152675,0.95348294315833,0.7651539174791273,0.9292208260205501,0.7136370327558772,0.9246031120607758,0.707026064378672,0.9260800577324911,0.7084929862207363,0.9364342470676208,0.7296092953841975
DEV-OOS,364823,63125,0.173029,0.9337692615702715,0.7219671364761916,0.9260616762859801,0.7029652053085593,0.9214902975600452,0.6943712704701916,0.9235418674329696,0.7003486911736339,0.9335425779986268,0.7195937848017843
OOT,121681,15700,0.129026,0.9357900839334439,0.7363096618027375,0.9281304265862041,0.7173208865368634,0.9231770478143638,0.7091854677615197,0.9268891305297663,0.7131283278333089,0.9355616338393068,0.7341663506924718
OOT-OOS,122160,17549,0.143656,0.9306553026728805,0.7190086524672934,0.9213720818800136,0.6977453304465322,0.9167101587724888,0.685445584942804,0.9201311500172812,0.6936208025525775,0.9296665096302585,0.7162446623622785
