intent_level,1,2,3,4,5,6,7
中意愿,0.031321,0.032437,0.0295,0.029693,0.020103,0.021027,0.027138
低意愿,0.0,0.0,0.001578,0.001648,0.001663,0.002325,0.002708
高意愿,0.405767,0.433428,0.423119,0.455716,0.406914,0.450328,0.503229
