score_column,score_band,n_samples,bad,bad_rate,blue_customer_flag,zc_level,prc_amt_xz_30d_3m_sum,ovd_amt_xz_30d_3m_sum
model_score,5,345,187,0.5420289855072464,E2,7,38604.47,4882.63
model_score,5,7782,4638,0.5959907478797224,E3,1,49257393.55,876393.09
model_score,5,27257,17012,0.6241332501742671,E3,2,99406523.96000001,3024072.19
model_score,5,34894,21870,0.6267553161001892,E3,3,62501292.68,2283594.0700000003
model_score,5,46104,29326,0.6360836369946209,E3,4,48915621.589999996,1945615.8
model_score,5,7967,5000,0.6275888038157399,E3,5,5835966.29,287246.43
model_score,5,37676,23804,0.6318080475634356,E3,6,20246417.18,1126332.3900000001
model_score,5,12437,7978,0.6414730240411675,E3,7,3417139.1799999997,147809.07
gcard_v2,1,274,0,0.0,B2,1,0.0,0.0
gcard_v2,1,871,1,0.001148105625717566,B2,2,0.0,0.0
gcard_v2,1,3811,11,0.0028863815271582263,B2,3,48057.03,0.0
gcard_v2,1,5975,18,0.0030125523012552303,B2,4,41847.92,0.0
gcard_v2,1,15836,22,0.0013892397069967164,B2,5,60024.91,1267.63
gcard_v2,1,96820,153,0.0015802520140466845,B2,6,330681.96,5082.79
gcard_v2,1,70985,68,0.0009579488624357258,B2,7,84778.79000000001,0.0
gcard_v2,1,2,0,0.0,E3,2,0.0,0.0
gcard_v2,1,8,0,0.0,E3,3,0.0,0.0
gcard_v2,1,42,0,0.0,E3,4,0.0,0.0
gcard_v2,1,9,0,0.0,E3,5,0.0,0.0
gcard_v2,1,44,1,0.022727272727272728,E3,6,0.0,0.0
gcard_v2,2,534,4,0.00749063670411985,B2,1,25017.870000000003,0.0
gcard_v2,2,3543,30,0.00846740050804403,B2,2,136039.98,0.0
gcard_v2,2,10389,75,0.007219174126479931,B2,3,376284.21,41.160000000000004
gcard_v2,2,10845,72,0.006639004149377593,B2,4,337127.03,0.0
gcard_v2,2,30026,202,0.006727502830879904,B2,5,441322.5,4791.83
gcard_v2,2,95458,454,0.004756018353621488,B2,6,648832.46,26341.420000000006
gcard_v2,2,43461,116,0.002669059616667817,B2,7,74123.09000000001,0.0
gcard_v2,2,1,0,0.0,E2,2,0.0,0.0
gcard_v2,2,14,0,0.0,E2,3,0.0,0.0
gcard_v2,2,7,0,0.0,E2,4,0.0,0.0
gcard_v2,2,3,0,0.0,E2,5,0.0,0.0
gcard_v2,2,14,0,0.0,E2,6,0.0,0.0
gcard_v2,2,11,0,0.0,E3,2,0.0,0.0
gcard_v2,2,78,2,0.02564102564102564,E3,3,3686.57,0.0
gcard_v2,2,152,2,0.013157894736842105,E3,4,1081.53,0.0
gcard_v2,2,35,0,0.0,E3,5,0.0,0.0
gcard_v2,2,99,4,0.04040404040404041,E3,6,0.0,0.0
gcard_v2,2,6,0,0.0,E3,7,0.0,0.0
gcard_v2,3,3436,109,0.03172293364377183,B2,1,1174485.81,0.0
gcard_v2,3,11414,353,0.030926931838093568,B2,2,1416872.5100000002,49624.490000000005
gcard_v2,3,18855,461,0.024449748077433043,B2,3,1417924.71,11807.73
gcard_v2,3,13943,299,0.021444452413397402,B2,4,425835.69,15541.94
gcard_v2,3,31368,718,0.02288956898750319,B2,5,1103612.99,58026.31999999999
gcard_v2,3,69499,1508,0.021698153930272378,B2,6,967487.67,23741.92
gcard_v2,3,32126,515,0.016030629396750297,B2,7,268426.52,938.1400000000001
gcard_v2,3,14,0,0.0,E2,1,0.0,0.0
gcard_v2,3,42,4,0.09523809523809523,E2,2,60995.8,0.0
gcard_v2,3,357,33,0.09243697478991597,E2,3,27995.840000000004,80.04
gcard_v2,3,493,41,0.08316430020283976,E2,4,9241.97,152.39000000000001
gcard_v2,3,199,16,0.08040201005025126,E2,5,721.02,0.0
gcard_v2,3,1089,56,0.051423324150596875,E2,6,10659.440000000002,0.0
gcard_v2,3,72,1,0.013888888888888888,E2,7,146.11,0.0
gcard_v2,3,123,4,0.032520325203252036,E3,1,60884.39,0.0
gcard_v2,3,1621,125,0.07711289327575571,E3,2,844731.0,2275.89
gcard_v2,3,4161,275,0.06608988223984619,E3,3,895870.5700000001,2863.8500000000004
gcard_v2,3,3891,267,0.06861989205859677,E3,4,712401.3200000001,25446.09
gcard_v2,3,388,29,0.07474226804123711,E3,5,41705.35,935.47
gcard_v2,3,1345,74,0.0550185873605948,E3,6,42799.99,3095.1
gcard_v2,3,241,17,0.07053941908713693,E3,7,539.88,98.73
gcard_v2,4,5167,506,0.09792916586026708,B2,1,3253021.73,18228.65
gcard_v2,4,9351,873,0.0933589990375361,B2,2,2657960.5,107469.87
gcard_v2,4,10983,1032,0.09396339797869435,B2,3,2029447.86,64006.87
gcard_v2,4,6109,552,0.09035848747749223,B2,4,571370.89,1429.3
gcard_v2,4,13160,1169,0.08882978723404256,B2,5,1244319.6400000001,43685.700000000004
gcard_v2,4,20060,1946,0.09700897308075773,B2,6,1002766.06,21632.230000000003
gcard_v2,4,6573,542,0.08245854252244028,B2,7,113037.32,276.97
gcard_v2,4,164,32,0.1951219512195122,E2,1,161440.38,0.0
gcard_v2,4,617,136,0.22042139384116693,E2,2,757736.97,21033.28
gcard_v2,4,5297,1154,0.21785916556541438,E2,3,1961134.79,29789.520000000004
gcard_v2,4,5320,1174,0.2206766917293233,E2,4,1030237.3,13060.75
gcard_v2,4,2024,427,0.21096837944664032,E2,5,214075.71000000002,8677.83
gcard_v2,4,9710,2003,0.2062821833161689,E2,6,798627.5700000001,21004.629999999997
gcard_v2,4,481,128,0.2661122661122661,E2,7,13675.560000000001,1087.28
gcard_v2,4,3727,691,0.1854038100348806,E3,1,5731670.0600000005,48272.22
gcard_v2,4,16622,3016,0.18144627601973287,E3,2,14854590.0,164509.17
gcard_v2,4,25485,4475,0.17559348636452815,E3,3,10740034.64,277609.5
gcard_v2,4,29748,5791,0.19466854914616108,E3,4,7920849.65,177757.52000000002
gcard_v2,4,4270,899,0.21053864168618266,E3,5,1080947.21,42910.06
gcard_v2,4,16320,3603,0.2207720588235294,E3,6,2733694.56,144248.01
gcard_v2,4,3488,838,0.24025229357798164,E3,7,281441.44000000006,707.5699999999999
gcard_v2,5,883,271,0.30690826727066817,B2,1,1074041.83,71079.66000000002
gcard_v2,5,1338,424,0.31689088191330345,B2,2,551969.72,12621.53
gcard_v2,5,1579,539,0.34135528815706145,B2,3,300262.9,8832.250000000002
gcard_v2,5,761,248,0.32588699080157685,B2,4,129190.13,4237.97
gcard_v2,5,1839,696,0.37846655791190864,B2,5,189698.5,1050.89
gcard_v2,5,2772,1239,0.44696969696969696,B2,6,279640.19,31618.760000000002
gcard_v2,5,900,415,0.46111111111111114,B2,7,68014.66,12595.050000000001
gcard_v2,5,149,83,0.5570469798657718,E2,1,629569.6200000001,25439.55
gcard_v2,5,508,264,0.5196850393700787,E2,2,1488913.6,53487.560000000005
gcard_v2,5,2895,1620,0.5595854922279793,E2,3,3809253.8200000003,55375.56
gcard_v2,5,1945,1110,0.570694087403599,E2,4,1588470.4100000001,55257.43000000001
gcard_v2,5,668,361,0.5404191616766467,E2,5,446759.71,8839.42
gcard_v2,5,3484,1847,0.5301377726750861,E2,6,1266657.23,59560.600000000006
gcard_v2,5,260,139,0.5346153846153846,E2,7,30292.97,3869.1
gcard_v2,5,8252,4572,0.5540475036354823,E3,1,48108350.2,856903.41
gcard_v2,5,28140,16585,0.5893745557924662,E3,2,96181260.23,2980430.05
gcard_v2,5,35074,21085,0.6011575526030678,E3,3,60536371.6,2248446.45
gcard_v2,5,45854,28132,0.6135124525668426,E3,4,47374826.010000005,1903068.24
gcard_v2,5,7837,4778,0.609672068393518,E3,5,5530358.35,282983.83
gcard_v2,5,37244,22774,0.6114810439265385,E3,6,19486849.330000002,1081012.38
gcard_v2,5,12295,7636,0.6210654737698251,E3,7,3261523.7300000004,148127.71000000002
gcard_v4,1,330,4,0.012121212121212121,B2,1,18483.920000000002,2792.56
gcard_v4,1,2471,47,0.019020639417239985,B2,2,8178.370000000001,0.0
gcard_v4,1,7952,116,0.014587525150905433,B2,3,184869.17,41.160000000000004
gcard_v4,1,9810,93,0.009480122324159021,B2,4,115023.6,0.0
gcard_v4,1,23162,226,0.009757361195060876,B2,5,288519.9,11779.619999999999
gcard_v4,1,89845,580,0.006455562357393288,B2,6,565783.72,15929.560000000001
gcard_v4,1,61394,233,0.0037951591360719287,B2,7,119106.42,0.0
gcard_v4,1,1,0,0.0,E2,6,0.0,0.0
gcard_v4,1,6,0,0.0,E3,2,0.0,0.0
gcard_v4,1,35,1,0.02857142857142857,E3,3,0.0,0.0
gcard_v4,1,56,0,0.0,E3,4,0.0,0.0
gcard_v4,1,6,0,0.0,E3,5,0.0,0.0
gcard_v4,1,26,0,0.0,E3,6,0.0,0.0
gcard_v4,2,542,5,0.00922509225092251,B2,1,31454.050000000003,0.0
gcard_v4,2,2399,43,0.01792413505627345,B2,2,135874.31,1413.16
gcard_v4,2,7222,105,0.014538908889504293,B2,3,261611.23,0.0
gcard_v4,2,7287,86,0.011801838891176067,B2,4,219862.18000000002,0.0
gcard_v4,2,24925,291,0.011675025075225677,B2,5,498705.85000000003,12659.510000000002
gcard_v4,2,96321,741,0.007693026442831781,B2,6,976599.01,30615.090000000004
