feature,rank,gain,split_importance,bin_order,bin_label,lower_bound,upper_bound,is_missing_bin,split_value,good,bad,total,bad_rate,pop_pct,woe,iv_component,status,skip_reason
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,0,Missing,,,True,DEV,345,4,349,0.011461318051575931,0.0018994334354709669,-2.6312189774313404,0.005422097716267407,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,DEV,137512,9598,147110,0.06524369519407246,0.8006465693184354,-0.9524117167999564,0.5169874393195748,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,DEV,8608,11221,19829,0.5658883453527661,0.10791938565029743,1.9747777627641525,0.6779516479625567,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,3,"(0.333333, inf]",0.3333333432674408,inf,False,DEV,9126,7325,16451,0.4452616862196827,0.0895346115957962,1.489875411438639,0.3003211415904207,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,0,Missing,,,True,OOT,105,1,106,0.009433962264150943,0.0017327906102365422,-2.344167759091267,0.00419643431518519,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,OOT,47619,2732,50351,0.05425910111020635,0.8230918869435863,-0.948947314428343,0.5197782139191768,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,OOT,3082,3267,6349,0.5145692234997638,0.10378761872067742,1.9673622961765673,0.700203897224926,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,3,"(0.333333, inf]",0.3333333432674408,inf,False,OOT,2472,1895,4367,0.43393634073734827,0.07138770372549981,1.643330957176212,0.3181851546054117,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,0,Missing,,,True,DEV-OOS,311,4,315,0.012698412698412698,0.0017168083714846304,-2.6760915611022345,0.005118356014970308,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,DEV-OOS,131833,10497,142330,0.07375114171292067,0.7757248746457379,-0.9691722488360924,0.5228581975231544,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,DEV-OOS,9070,12777,21847,0.584840023801895,0.11907019838674515,1.9038888026100567,0.6504293124521869,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,3,"(0.333333, inf]",0.3333333432674408,inf,False,DEV-OOS,10439,8549,18988,0.45023172530018957,0.10348811859603227,1.3615064934682166,0.2719882633903067,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,0,Missing,,,True,OOT-OOS,97,1,98,0.01020408163265306,0.001597365976104709,-2.3992995789323466,0.004054113938969852,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,1,"(-inf, 0.0833333]",-inf,0.0833333358168602,False,OOT-OOS,45911,2981,48892,0.06097112001963512,0.7969226255480758,-0.9592014098034224,0.5177440461376516,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,2,"(0.0833333, 0.333333]",0.0833333358168602,0.3333333432674408,False,OOT-OOS,3199,3452,6651,0.5190196962862728,0.10840899088849408,1.8511917496672226,0.6059493925384376,ok,
his_90_day_csh_apl_ord_cnt_his_rto,1,213306.57941246033,13,3,"(0.333333, inf]",0.3333333432674408,inf,False,OOT-OOS,3255,2455,5710,0.4299474605954466,0.09307101758732539,1.493072223765673,0.3197057082317558,ok,
