intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,31,9.5e-05,0,0.0
低意愿,2,133,0.000406,0,0.0
低意愿,3,699,0.002136,1,0.001431
低意愿,4,1735,0.005302,0,0.0
低意愿,5,4159,0.012711,10,0.002404
低意愿,6,48253,0.14747,90,0.001865
低意愿,7,54058,0.165211,122,0.002257
中意愿,1,259,0.000792,0,0.0
中意愿,2,1406,0.004297,9,0.006401
中意愿,3,4916,0.015024,23,0.004679
中意愿,4,5962,0.018221,26,0.004361
中意愿,5,17484,0.053434,73,0.004175
中意愿,6,60916,0.186171,332,0.00545
中意愿,7,18125,0.055393,124,0.006841
高意愿,1,4921,0.01504,434,0.088193
高意愿,2,11840,0.036185,835,0.070524
高意愿,3,17409,0.053205,1045,0.060026
高意愿,4,11353,0.034697,577,0.050824
高意愿,5,24841,0.075919,1323,0.053259
高意愿,6,33833,0.1034,2255,0.066651
高意愿,7,4872,0.01489,558,0.114532
