final_flag,n_samples,positive,bad_rate,dimension,dimension_value,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
DEV,123294,2734,0.022175,blue_customer_flag,B2,0.8999915021050267,0.6451961135767782,0.8734343831711789,0.5887483165421046,0.8016159587800636,0.5199267944410115,0.8817727600992977,0.606399627876542,0.8910821752208301,0.6290384690998214
DEV-OOS,117795,3114,0.026436,blue_customer_flag,B2,0.8863416832608251,0.6248032092506786,0.8817472488378447,0.6020930284383287,0.8133745791683232,0.5454955640423786,0.8881070658836911,0.6126883185172495,0.895774084833024,0.6300359702651095
OOT,43869,913,0.020812,blue_customer_flag,B2,0.877438943356492,0.6069958541341419,0.8721279292894586,0.5792957886720903,0.8056154948573886,0.5330857594035787,0.8786900006292896,0.6030768436017517,0.887747130026425,0.6183997645212652
OOT-OOS,42247,1076,0.025469,blue_customer_flag,B2,0.8993862211635414,0.6530970341396871,0.8854978970141936,0.6205425324138827,0.8330924884850466,0.5882590365634196,0.8922088841723597,0.6315029012643704,0.9022303184858076,0.6508203296451766
DEV,6578,1908,0.290058,blue_customer_flag,E2,0.8066785180396753,0.47041847916358037,0.7431726110733883,0.3694387605292617,0.7288250979758394,0.36167988723239014,0.7036730278013459,0.30577844217293126,0.762950991879116,0.39265865801157307
DEV-OOS,7965,2403,0.301695,blue_customer_flag,E2,0.7620231692285638,0.39742595218759724,0.7368053755538546,0.35760210289422406,0.7231099939051973,0.3519326569942911,0.7129132827642781,0.31960453963290225,0.7584329518582416,0.38489105446670624
OOT,1384,413,0.29841,blue_customer_flag,E2,0.7342446692583717,0.3709113941095648,0.7014361280890207,0.3282890328344874,0.6834196542342958,0.311847450146251,0.6937058472955417,0.29934692025145687,0.7303720734222227,0.37861419419833775
OOT-OOS,2254,707,0.313665,blue_customer_flag,E2,0.7336680292833051,0.352064359635705,0.7085106979351583,0.33847986545828274,0.6998959522879982,0.31350361926949,0.6904553138848838,0.2937656403002938,0.7284976442976275,0.3436609982911672
DEV,53867,23506,0.436371,blue_customer_flag,E3,0.8611209860276507,0.5592928510028672,0.7985785915216841,0.4499805563090255,0.8080916386693597,0.4670502111558776,0.7882833850661943,0.43320372371675786,0.8200805550592369,0.48367518075333615
DEV-OOS,57720,26310,0.455821,blue_customer_flag,E3,0.8216619709822313,0.48601488315968194,0.8011480857158565,0.45567831239533524,0.8097955002504243,0.4716104037635176,0.7899265879563226,0.4391401905936021,0.8231462785868924,0.4888337096052249
OOT,15920,6569,0.412626,blue_customer_flag,E3,0.7989501278751352,0.4557464806153817,0.7777522758459555,0.4175052227679619,0.7851350891783753,0.4309251483869747,0.777658521855937,0.42014505121134665,0.8021652759933345,0.4566032413354195
OOT-OOS,16850,7106,0.421721,blue_customer_flag,E3,0.7977262097711547,0.44625254820621535,0.7717421587286181,0.40619282195636874,0.7826769174919597,0.42540792096412894,0.7709661234152133,0.410134628013885,0.7971563873033127,0.441073438944956
DEV,4395,1189,0.270535,zc_level,1,0.905142638880946,0.6478569670933442,0.8484252299384903,0.5376087972811842,0.8396620608306251,0.5296591611351587,0.8415463121869371,0.5272690975237242,0.8609375188552582,0.5652385377081555
DEV-OOS,4156,1182,0.284408,zc_level,1,0.8613363191654236,0.5632520763708485,0.8492159839002231,0.5388112300040466,0.8425432996858275,0.5475895436706391,0.8324870251713383,0.5128798145689034,0.8579476728374622,0.5590549568340166
OOT,1436,363,0.252786,zc_level,1,0.8215913262935206,0.48679714196955576,0.8128082485449257,0.47239402411816206,0.8004000010269603,0.48282280570681824,0.7945386252596284,0.443515901196152,0.8211394637726926,0.5007638017042406
OOT-OOS,1484,387,0.260782,zc_level,1,0.8395718650112239,0.5348530994796709,0.8253800004239893,0.49095371685522415,0.8075418277237192,0.4837341210112616,0.8166034215937759,0.4860519292691602,0.8351953530771026,0.5036945957850751
DEV,13690,4012,0.293061,zc_level,2,0.9044449365274708,0.6441154939809627,0.8604814493146534,0.5596453367622176,0.8627505193656476,0.5722970064800432,0.8487903720127075,0.5457329705448647,0.8739026256629986,0.5809122539387418
DEV-OOS,13777,4155,0.30159,zc_level,2,0.8721155214646739,0.5778282620979149,0.8615278288563487,0.5629805034137164,0.8584344939218586,0.5716739093995412,0.8520992180725029,0.5491384690269316,0.8741191778467966,0.5850482285756593
OOT,4943,1368,0.276755,zc_level,2,0.8648779290884553,0.5645599721915512,0.8535989449147343,0.5495329816382448,0.8486397374555269,0.5495108984582668,0.8437210158262789,0.5387809266756635,0.8670114096429886,0.5681846808162597
OOT-OOS,4987,1452,0.291157,zc_level,2,0.8631089732349859,0.5603621401101149,0.8433070106262375,0.5300886965727192,0.8377825444882151,0.5221013010391948,0.84034049508847,0.5227900062733546,0.8603467489606104,0.5518175194142791
